,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,Neighbors,HCFAI,Cluster
4507,2966172,Tabucbuc (Ragas),Marcos,Ilocos Norte,10.557368,9.15023,46.381432,18.634896,23.77724,553.108912706375,1.323376467,2.39056778,1.367518224,0,0,0,1,2960650,11.4323686762363,"2966172, 2966171, 2964789, 2966172, 2964790, 2966173, 2966172, 2966173, 2966172",0.37312382,0
4508,2966173,Santiago,Marcos,Ilocos Norte,114.230830999999,116.96478,562.351301999998,200.075483999999,280.834983,966.641335368156,0.892171759,0.324805647,1.434009982,0,0,0,1,2960650,10.0372394636181,"2966173, 2966172, 2966174, 2966173, 2966172",0.42891893,0
4509,2966174,Bugasi,Banna (Espiritu),Ilocos Norte,64.2899910000001,57.3661449999999,277.117032,114.538885,137.773451,916.805692374706,1.251634104,2.188450098,1.337836559,0,0,0,1,2960650,8.73151045970322,"2966174, 2964792, 2966175, 2964792, 2966175, 2964792, 2964791, 2966175, 2966174, 2966173, 2966174, 2966173, 2966175",0.3829033,0
4510,2966175,Bugasi,Banna (Espiritu),Ilocos Norte,34.23173,22.1942799999999,142.946119999999,57.1784099999999,65.4542399999999,278.908363088965,1.251634104,2.188450098,1.337836559,0,0,0,1,2960650,7.56163675414574,"2966175, 2966174, 2964793, 2964792, 2966175, 2964793, 2964792, 2966175, 2964793, 2964792, 2966175, 2966174, 2966174, 2964793, 2966175, 2966176, 2964793, 2966176",0.38136965,0
4511,2966176,Santo Nino,Nueva Era,Ilocos Norte,21.259706,13.7838159999999,88.7770639999998,35.5108019999999,40.6505279999999,199.082079738378,0.600931518,0.348590046,1.491996358,1,0,0,0,2960650,6.60025778356084,"2966176, 2966177, 2964793, 2966176, 2964794, 2966177",0.4977174,0
4512,2966177,Caray,Nueva Era,Ilocos Norte,7.12932699999999,5.375204,29.554084,11.805663,14.49888,84.4720647558569,1.05541691,1.882827886,1.183316711,1,0,0,0,2960650,5.94932201256762,"2966177, 2964795, 2966176, 2966177, 2966176, 2964794, 2966178, 2966177, 2964795, 2964795",0.4803342,0
4513,2966178,Caray,Nueva Era,Ilocos Norte,0,0,0,0,0,56.6255674809217,1.05541691,1.882827886,1.183316711,1,0,0,0,2960650,5.7158935853167,"2966178, 2966177, 2964796, 2964795, 2966177, 2966178, 2966177, 2964795, 2966179, 2964796, 2964795, 2964796",0.4803342,0
4514,2966179,Caray,Nueva Era,Ilocos Norte,0.519040999976094,0.399261999981611,2.149361999901,0.858413999960464,1.06469999995095,52.8895127922296,1.05541691,1.882827886,1.183316711,1,0,0,0,2960650,5.9493213306405,"2966179, 2966178, 2964796, 2966178, 2966180, 2966179, 2964797, 2964796, 2966180, 2964797, 2964796",0.4803342,0
4515,2966180,Acnam,Nueva Era,Ilocos Norte,0,0,0,0,0,36.0448796041309,1.119367268,1.875023929,1.21951056,1,0,0,1,2960650,6.6002565962153,"2966180, 2966179, 2964797, 2966180, 2964797, 2964798, 2966181, 2964798, 2966181",0.52283424,0
4516,2966181,Barikir,Nueva Era,Ilocos Norte,0,0,0,0,0,15.3853075020015,1.425709756,1.776310563,1.208907533,1,0,0,1,2960650,7.30846027010567,"2966181, 2964798, 2966181, 2966182, 2964799",0.51425236,0
4517,2966182,Poblacion,Nueva Era,Ilocos Norte,0,0,0,0,0,3.49710144102573,0.757825222,0.329110086,1.504034683,1,0,0,1,2960650,8.12215949668289,"2966182, 2964800, 2964799",0.539668,1
4518,2966228,Lamag (Tubtuba),Quirino (Angkaki),Ilocos Sur,2.864604,3.58075199999999,16.976988,6.529608,8.593812,48.8351002782583,0.167403968,0.268101528,0.895361205,1,0,0,0,2941335,38.2486321447021,"2966228, 2966229, 2966228, 2966229, 2964846, 2964845, 2964845",0.59303665,1
4519,2966229,Lamag (Tubtuba),Quirino (Angkaki),Ilocos Sur,0.238716999989005,0.298395999986257,1.41474899993484,0.544133999974939,0.71615099996701,118.116399943828,0.167403968,0.268101528,0.895361205,1,0,0,0,2941335,39.291412087356,"2966229, 2964847, 2966228, 2966229, 2964846",0.5930038,1
4520,2966230,Patungcaleo (Lamag),Quirino (Angkaki),Ilocos Sur,11.925837,5.606931,43.4313989999999,20.914707,22.33869,203.399578273296,0.505884332,0.25420592,1.068487277,1,0,0,0,2941335,40.5532213290054,"2966230, 2966231, 2964847, 2964848, 2966230, 2966231, 2966229, 2964847, 2966229",0.5593335,1
4521,2966231,Patiacan,Quirino (Angkaki),Ilocos Sur,0,0,0,0,0,146.721162602305,0.507774752,0.296278954,0.943950096,1,0,0,0,2941335,41.8420641903302,"2966231, 2964848, 2964849, 2966232, 2966230, 2966231, 2964848, 2966230, 2966231",0.5743662,1
4522,2966232,Namitpit,Quirino (Angkaki),Ilocos Sur,5.279223,3.25004099999999,18.969297,8.193909,8.999994,83.8917761594057,0.513704251,0.292140908,1.060102808,1,0,0,0,2941335,43.1555186590122,"2966232, 2966233, 2966232, 2966233, 2966231, 2964849, 2964850, 2966232, 2966233, 2966231, 2966231",0.56008595,1
4523,2966233,Namitpit,Quirino (Angkaki),Ilocos Sur,10.554827,9.03724,45.6259709999999,18.482799,22.288343,296.698143333196,0.513704251,0.292140908,1.060102808,1,0,0,0,2941335,44.4914050743029,"2966233, 2966234, 2964851, 2966232, 2966233, 2964850, 2966232, 2966233",0.5545964,1
4524,2966234,Namitpit,Quirino (Angkaki),Ilocos Sur,26.3706479999999,23.3965439999999,116.982647999999,47.189592,57.499992,167.737172186374,0.513704251,0.292140908,1.060102808,1,0,0,0,2941335,45.847762652546,"2966234, 2966235, 2964851, 2964852, 2966233, 2966233, 2966235",0.55548453,1
4525,2966235,Namitpit,Quirino (Angkaki),Ilocos Sur,0.336792372176697,0.298808643401424,1.4940422974601,0.602681232244672,0.734360365618337,84.9120030850172,0.513704251,0.292140908,1.060102808,1,0,0,0,2941335,47.2228274806527,"2966235, 2964853, 2964852, 2964853, 2966235, 2966236, 2964853",0.5600823,1
