fid,neighbours
2880603,"2879220,2879221,2880602,2880604,2881984,2881985"
2880604,"2879221,2879222,2880603,2880605,2881985,2881986"
2880605,"2879222,2879223,2880604,2880606,2881986,2881987"
2880606,"2879223,2879224,2880605,2880607,2881987,2881988"
2880607,"2879224,2879225,2880606,2880608,2881988,2881989"
2880608,"2879225,2879226,2880607,2880609,2881989,2881990"
2880609,"2879226,2879227,2880608,2880610,2881990,2881991"
2880610,"2879227,2879228,2880609,2880611,2881991,2881992"
2880611,"2879228,2879229,2880610,2880612,2881992,2881993"
2880612,"2879229,2879230,2880611,2880613,2881993,2881994"
2880613,"2879230,2879231,2880612,2880614,2881994,2881995"
2880614,"2879231,2879232,2880613,2880615,2881995,2881996"
2880615,"2879232,2879233,2880614,2880616,2881996,2881997"
2880616,"2879233,2879234,2880615,2880617,2881997,2881998"
2880617,"2879234,2879235,2880616,2880618,2881998,2881999"
2880618,"2879235,2879236,2880617,2880619,2881999,2882000"
2880619,"2879236,2879237,2880618,2880620,2882000,2882001"
2880620,"2879237,2879238,2880619,2880621,2882001,2882002"
2880621,"2879238,2879239,2880620,2880622,2882002,2882003"
2880622,"2879239,2879240,2880621,2880623,2882003,2882004"
2880623,"2879240,2879241,2880622,2880624,2882004,2882005"
2880624,"2879241,2879242,2880623,2880625,2882005,2882006"
2880625,"2879242,2879243,2880624,2880626,2882006,2882007"
2880626,"2879243,2879244,2880625,2880627,2882007,2882008"
2880627,"2879244,2879245,2880626,2880628,2882008,2882009"
2880628,"2879245,2879246,2880627,2880629,2882009,2882010"
2880629,"2879246,2880628,2880630,2882010,2882011"
2880630,"2880629,2880631,2882011,2882012"
2880631,"2880630,2882012,2882013"
2880634,"2880635,2882016"
2880635,"2879252,2880634,2882016,2882017"
2881978,"2880596,2880597,2881979"
2881979,"2880597,2880598,2881978,2881980"
2881980,"2880598,2880599,2881979,2881981"
2881981,"2880599,2880600,2881980,2881982"
2881982,"2880600,2880601,2881981,2881983"
2881983,"2880601,2880602,2881982,2881984"
2881984,"2880602,2880603,2881983,2881985"
2881985,"2880603,2880604,2881984,2881986"
2881986,"2880604,2880605,2881985,2881987"
2881987,"2880605,2880606,2881986,2881988"
2881988,"2880606,2880607,2881987,2881989"
2881989,"2880607,2880608,2881988,2881990"
2881990,"2880608,2880609,2881989,2881991"
2881991,"2880609,2880610,2881990,2881992"
2881992,"2880610,2880611,2881991,2881993"
2881993,"2880611,2880612,2881992,2881994"
2881994,"2880612,2880613,2881993,2881995"
2881995,"2880613,2880614,2881994,2881996"
2881996,"2880614,2880615,2881995,2881997"
2881997,"2880615,2880616,2881996,2881998"
2881998,"2880616,2880617,2881997,2881999"
