,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,Neighbors,HCFAI,Cluster
2550,2942699,Sarsaracat,Magsingal,Ilocos Sur,87.10007099999972,78.46072900000014,394.9361729999988,156.8846859999998,200.9948890000004,535.5953400731087,0.922738866,0.09416841,1.267542827,1.0,0,0,1,2939928,11.899043039298508,"2942699, 2942700, 2941318, 2942700, 2941318, 2942699, 2941318, 2941317, 2942699, 2942698, 2941317, 2942699, 2942698, 2942700, 2941318, 2941317",0.5658709,1.0
2551,2942700,Sarsaracat,Magsingal,Ilocos Sur,8.668992000000001,7.830048000000002,39.220176,15.590192,19.924688,230.5569039881229,0.922738866,0.09416841,1.267542827,1.0,0,0,1,2939928,13.506665783364069,"2942700, 2941318, 2942701, 2941319, 2942700, 2941318, 2942699, 2941318, 2942699, 2942701, 2942699, 2942700, 2941318, 2942701",0.56930506,1.0
2552,2942701,Laoingen,Santo Domingo,Ilocos Sur,0.0,0.0,0.0,0.0,0.0,136.14837408065796,0.933158158,0.091951396,1.278115313,1.0,0,0,1,2933032,12.457427954289788,"2942701, 2941319, 2941320, 2942700, 2942701, 2941319, 2942700, 2942701, 2942700, 2942702, 2941320, 2942701",0.5676627,1.0
2553,2942702,Laoingen,Santo Domingo,Ilocos Sur,0.0,0.0,0.0,0.0,0.0,72.70898283272983,0.933158158,0.091951396,1.278115313,1.0,0,0,1,2933032,11.550103685809216,"2942702, 2941320, 2942701, 2941321, 2941320, 2942701, 2942701, 2941321, 2942702, 2941320, 2942701, 2942703",0.5676627,1.0
2554,2942703,Lingsat,Bantay,Ilocos Sur,0.0,0.0,0.0,0.0,0.0,69.70378712564707,1.575091123,1.040102959,1.327321158,1.0,0,0,1,2933032,10.819793413082696,"2942703, 2942704",0.511439,0.0
2555,2942704,Lingsat,Bantay,Ilocos Sur,0.089499217214677,0.076152606668029,0.409811727909929,0.142884489415688,0.211186492816741,59.13787457533181,1.575091123,1.040102959,1.327321158,1.0,0,0,1,2933032,10.259734457534014,"2942704, 2942703, 2941323, 2942705, 2942704",0.511439,0.0
2556,2942705,Lingsat,Bantay,Ilocos Sur,10.158534,11.524064,60.10770800000002,22.560650000000003,31.527764,146.31516480073327,1.575091123,1.040102959,1.327321158,1.0,0,0,1,2933032,9.827179815220177,"2942705, 2942704, 2941324, 2941323, 2942705, 2942704, 2942706, 2941324, 2942706, 2941324",0.511439,0.0
2557,2942706,Tay-ac,Bantay,Ilocos Sur,0.0,0.0,0.0,0.0,0.0,52.889964118599885,0.86510008,1.134156346,1.171974135,1.0,0,0,0,2933032,9.688367193160904,"2942706, 2942707, 2941325, 2941324, 2942706, 2941325, 2941324",0.5095211,0.0
2558,2942707,San Mariano (Sallacong),Bantay,Ilocos Sur,1.42512,1.326837,8.157591,3.243378,3.882228,64.61903043091297,1.276741193,0.089421528,1.304897364,1.0,0,0,0,2933033,9.705397828828838,"2942707, 2941325, 2942706, 2941326, 2941325",0.50202394,0.0
2559,2942708,Ampandula,Santa,Ilocos Sur,100.29309500000002,137.34982099999996,618.1729870000001,214.6133519999999,321.08379199999985,282.37681195139885,1.406946565,0.084591985,1.297371871,0.0,0,0,1,2933033,9.965087925562717,"2942708, 2941327, 2942709, 2942708, 2941327, 2941326, 2942708, 2941326, 2942707, 2941326",0.43346405,0.0
2560,2942709,Ampandula,Santa,Ilocos Sur,59.799934,64.011196,309.1067,115.388604,167.608264,56.09574818611145,1.406946565,0.084591985,1.297371871,1.0,0,0,1,2933033,10.17473435961728,"2942709, 2942708, 2941327, 2942709, 2942708, 2941327, 2942708",0.54668176,1.0
2561,2942712,Lungog,Narvacan,Ilocos Sur,2.515695,2.771524,14.134778,5.585692,6.92881,39.65144973993301,1.248458752,0.090845823,1.318841959,1.0,0,1,0,2941335,6.85615174599089,"2942712, 2941331, 2942713, 2942712, 2941331, 2941331",0.5734453,1.0
2562,2942713,Lungog,Narvacan,Ilocos Sur,63.881717999999815,84.09477199999982,390.9215489999988,160.38160099999956,198.63055600000072,937.2150999307632,1.248458752,0.090845823,1.318841959,0.0,0,1,0,2941335,5.949530276151108,"2942713, 2942712, 2941332, 2941331, 2942714, 2942714, 2942713, 2942712, 2941331, 2942714, 2941332, 2941331",0.45209047,0.0
2563,2942714,Lungog,Narvacan,Ilocos Sur,60.20728799999975,82.94475899999962,356.8209329999992,140.82781000000003,180.5615140000004,603.032289147377,1.248458752,0.090845823,1.318841959,0.0,0,0,0,2941335,4.365747118255303,"2942714, 2942713, 2941333, 2941332, 2942714, 2942715, 2942714, 2942713, 2942714, 2941333, 2942715, 2941333, 2941333, 2941332, 2942715",0.38743007,0.0
2564,2942715,Aquib,Narvacan,Ilocos Sur,67.58388499999997,98.55524799999962,353.21835100000004,110.45295599999936,171.63551099999952,693.7553197145462,1.32550269,0.091521839,1.317306057,0.0,0,0,0,2941335,2.858024723150156,"2942715, 2941334, 2942714, 2942716, 2942714, 2941333, 2942715, 2941334, 2941333, 2941334, 2942716, 2941333, 2942716, 2941334, 2941334, 2942716, 2941334, 2942716, 2942715",0.38518995,0.0
2565,2942716,Aquib,Narvacan,Ilocos Sur,179.5560160000009,207.69733299999885,968.0208939999948,349.514886,490.65297199999816,1650.1985664367676,1.32550269,0.091521839,1.317306057,0.0,0,1,1,2941335,1.650025160406423,"2942716, 2942715, 2941334, 2942716, 2942715, 2941334, 2941334, 2942717, 2942716, 2942717, 2942716, 2941335, 2941334, 2942717, 2942717, 2942717, 2941335, 2941335, 2941334, 2942716, 2941335, 2941334, 2942717, 2941335, 2942717, 2941335, 2942717, 2942717, 29",0.49825892,0.0
2566,2942717,Cagayungan,Narvacan,Ilocos Sur,231.95571499999969,249.64697100000103,1162.317010999994,408.2740840000001,603.1145640000034,2846.3258920907974,1.346570539,0.095774628,1.316083696,0.0,0,0,1,2941335,1.650024638043267,"2942717, 2942716, 2942717, 2942716, 2941335, 2942717, 2942718, 2941336, 2942718, 2941336, 2942717, 2942718, 2942717, 2941335, 2941336, 2941335, 2942716, 2941335, 2942717, 2941335, 2941336, 2942717, 2941335, 2942717, 2942717, 2942716",0.42542613,0.0
2567,2942718,Laslasong Norte,Santa Maria,Ilocos Sur,129.5870980000002,153.65324200000012,730.4040950000038,282.16163000000006,397.46320000000105,1449.247909784317,1.336542144,0.095573574,1.315319026,0.0,0,0,0,2941335,2.85802386561968,"2942718, 2942719, 2941337, 2942719, 2941336, 2941336, 2942719, 2942718, 2942717, 2942717, 2942717, 2942719, 2941337, 2942718, 2941336, 2941337, 2942718, 2941336, 2942717, 2942718, 2942717, 2941336, 2942717, 2941336, 2942717, 2942717, 2942717",0.38502923,0.0
2568,2942719,Maynganay Norte,Santa Maria,Ilocos Sur,206.44219399999847,212.14938999999976,997.4261130000004,372.77501000000393,503.7829840000006,2343.7055801153183,1.336664114,0.09502095,1.324601915,0.0,0,1,1,2941335,4.365746285619337,"2942719, 2942720, 2941338, 2942720, 2942720, 2942719, 2941338, 2941337, 2942719, 2941337, 2941338, 2942720, 2941338, 2942719, 2941337, 2941338, 2942720, 2942719, 2942720, 2942720, 2942719, 2942718, 2942719, 2941337, 2942719, 2942719, 2942718, 2942719, 29",0.4968404,0.0
2569,2942720,Maynganay Norte,Santa Maria,Ilocos Sur,326.6681439999993,364.8167220000001,1676.894458000011,615.6988320000041,874.9992749999944,3313.721848011017,1.336664114,0.09502095,1.324601915,0.0,0,1,1,2941335,5.949529579484798,"2942720, 2942719, 2942720, 2941339, 2941338, 2942720, 2942720, 2942719, 2941339, 2941338, 2942719, 2941339, 2942721, 2941339, 2941338, 2941339, 2942720, 2942721, 2941338, 2942719, 2941338, 2942720, 2942719, 2942720, 2942721, 2942721, 2941339, 2942720, 29",0.4976914,0.0
