,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HubDist,HCFAI,Cluster
2614,2716617,Caguisan,Narra,Palawan,1.17903425,0.665283,4.50333346875,1.649782906249999,2.107147999999999,0.757956867897382,2.733665547,0.271400322,0.942275906,0.0,0,0,0,2716617,0.0,,0.38677263,0.0
2615,2716618,Caguisan,Narra,Palawan,0.990428000000001,0.639389999999999,3.786192,1.410418999999999,1.805335999999998,0.534394557186223,2.733665547,0.271400322,0.942275906,0.0,0,0,0,2716618,0.0839706143843442,,0.38677263,0.0
2616,2716619,Caguisan,Narra,Palawan,0.990428,0.63939,3.786192,1.410419,1.805336,1.46064998023212,2.733665547,0.271400322,0.942275906,0.0,0,0,0,2716619,0.272062552143954,,0.38677263,0.0
2618,2717972,Aporawan,Aborlan,Palawan,1.70837506666667,0.624730433333333,5.3120705,2.126344133333333,2.464325433333331,0.353485812275456,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2717972,0.0611968515657374,,0.48105314,0.0
2632,2717986,Culandanum,Aborlan,Palawan,3.21759,1.76268,13.719058,5.325345,6.491138,0.163584613693612,3.89161396,0.322060083,0.873948405,0.0,0,0,0,2717986,0.0,,0.373639,0.0
2640,2717994,Narra (Pob.),Narra,Palawan,0.728474,0.398007,3.156318,1.127687,1.72108,0.246645090250032,3.071464871,0.244251893,0.869810855,1.0,0,0,0,2717994,0.0,,0.50057745,0.0
2641,2717995,Narra (Pob.),Narra,Palawan,0.986537128571428,0.5918633,4.347232,1.615343542857142,2.29129912857143,0.953903924567359,3.071464871,0.244251893,0.869810855,0.0,0,1,0,2717995,0.0,,0.45136562,0.0
2642,2717996,Narra (Pob.),Narra,Palawan,1.351385,0.865936,6.030938,2.304789,3.097471,0.713201338117071,3.071464871,0.244251893,0.869810855,0.0,0,0,0,2717996,1.76732216245574e-13,,0.38691497,0.0
2643,2717997,Narra (Pob.),Narra,Palawan,1.351385,0.865936,6.030938,2.304789,3.097470999999999,1.565073611267976,3.071464871,0.244251893,0.869810855,0.0,0,0,1,2717997,0.0,,0.42820036,0.0
2644,2717998,Narra (Pob.),Narra,Palawan,1.34884855172414,0.859484620689655,5.99121527586207,2.286526068965517,3.068773379310348,2.601483236717921,3.071464871,0.244251893,0.869810855,0.0,0,0,0,2717998,0.0,,0.38691497,0.0
2645,2717999,Caguisan,Narra,Palawan,1.1200994,0.6925904,4.4536986,1.662242,2.1557438,0.770789944975496,2.733665547,0.271400322,0.942275906,0.0,0,0,0,2717999,0.0009232018471702,,0.38677263,0.0
2646,2718000,Caguisan,Narra,Palawan,0.990428,0.63939,3.786192,1.410419,1.805336,0.686812138662929,2.733665547,0.271400322,0.942275906,0.0,0,0,1,2718000,0.220703086778616,,0.42802954,0.0
2649,2719352,Aporawan,Aborlan,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,1.712473160690732,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2719352,0.102057754291914,,0.48105314,0.0
2650,2719353,Aporawan,Aborlan,Palawan,0.299506999999999,0.199292,1.262941,0.513604000000001,0.580793999999998,0.453545991331339,3.935061016,0.334643152,0.871146405,1.0,0,0,1,2719353,0.0,,0.5308105,1.0
2651,2719354,Aporawan,Aborlan,Palawan,0.763969,0.339546428571429,2.59781885714286,1.045276571428571,1.201738428571429,0.149622755575696,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2719354,1.76387036135719e-13,,0.48105314,0.0
2655,2719358,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235312000000001,4.927405,0.125150846098666,3.935061016,0.334643152,0.871146405,0.0,0,0,0,2719358,0.0,,0.37291542,0.0
2656,2719359,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235312000000001,4.927405,0.174988303067429,3.935061016,0.334643152,0.871146405,0.0,0,0,0,2719359,5.29506288517012e-13,,0.37291542,0.0
2669,2719372,Estrella Village,Narra,Palawan,1.373737,0.566489,5.339162,2.180984,2.59877,0.246134406824907,2.870520751,0.239977052,0.911670469,0.0,0,0,0,2719372,0.0,,0.38745686,0.0
2670,2719373,Estrella Village,Narra,Palawan,1.255177,0.6094955,4.7796885,1.974527,2.351808,0.258529276292095,2.870520751,0.239977052,0.911670469,0.0,0,0,0,2719373,0.0,,0.38745686,0.0
2671,2719374,Narra (Pob.),Narra,Palawan,1.136617,0.652502,4.220215,1.76807,2.104846,0.253005632545267,3.071464871,0.244251893,0.869810855,1.0,0,0,0,2719374,0.0,,0.50057745,0.0
2673,2719376,Antipuluan,Narra,Palawan,0.728474,0.398007,3.156318,1.127687,1.72108,0.254047583508235,3.244005325,0.250214756,0.89617724,0.0,0,0,0,2719376,0.0,,0.38287765,0.0
2674,2719377,Narra (Pob.),Narra,Palawan,0.728474,0.398007,3.156318,1.127687,1.72108,0.41023543177967,3.071464871,0.244251893,0.869810855,0.0,0,1,0,2719377,1.76387036135719e-13,,0.45136562,0.0
2675,2719378,Narra (Pob.),Narra,Palawan,1.13527302040816,0.703593285714286,5.03362085714286,1.896406673469388,2.619947591836734,3.328142700876509,3.071464871,0.244251893,0.869810855,0.0,0,1,0,2719378,0.0,,0.45136562,0.0
2676,2719379,Narra (Pob.),Narra,Palawan,1.35138500000001,0.86593599999999,6.03093799999998,2.304789000000023,3.097471000000028,21.258832458099583,3.071464871,0.244251893,0.869810855,0.0,0,0,1,2719379,0.0,,0.42820036,0.0
