ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,population_children_under5,population_elder60plus,population_women,population_youth,population_reproductive_women,popden_all_total_population,Neighbors,HCFAI
2868173,Boboy,Agno,Pangasinan,1.103491785,1.127814849,0.774091015,0.0,0,0,1,2877844,11.25137004616172,1716355.4373540014,878974.3704779994,6302763.697824001,2374567.612685998,3071007.111618,5146779.832335949,"2969004, 2969005, 2967622, 2967621, 2969005, 2969004, 2969005, 2967621, 2967622, 2967622, 2969003, 2969004, 2967621, 2967622",0.4999903011630754
2868174,Boboy,Agno,Pangasinan,1.103491785,1.127814849,0.774091015,0.0,0,0,0,2877844,12.01003718749246,132175.3896,76467.97353599999,518321.33172,202415.175072,247396.348224,3301778.0410784483,"2969005, 2967622, 2967623, 2969005, 2969006, 2967623, 2969004, 2969005, 2967622, 2967623, 2969006, 2967622, 2967623, 2969004, 2967622",0.4999393860096197
2868175,Aloleng,Agno,Pangasinan,1.089601628,1.154037078,0.779154662,0.0,0,0,1,2877844,12.82753215142586,33962.666393043786,19648.561527336467,133183.45061722858,52010.88557154432,63568.86608518483,2484712.58518982,"2973148, 2973149",0.49995027260442165
2868176,Aloleng,Agno,Pangasinan,1.089601628,1.154037078,0.779154662,0.0,0,0,0,2877844,14.834872636739384,995259.9263579994,650496.4480259991,3902979.911472005,1356285.5559360003,1824643.096379999,3684646.163829804,"2973149, 2973150",0.49998131022487496
2868177,Aloleng,Agno,Pangasinan,1.089601628,1.154037078,0.779154662,0.0,0,0,0,2877844,15.90370884545404,40817.317824,46799.176896,215346.5622,74245.286448,105562.01988000004,2626171.6838040943,"2973150, 2973151, 2973151",0.49994204860284736
2868178,Magsaysay,Agno,Pangasinan,0.700862531,1.151205487,0.800627175,0.0,0,0,0,2877844,17.14379720764156,91838.965104,105298.14801599998,484529.7649500001,167051.89450800006,237514.54473,2195532.700680971,"2973151, 2973151, 2973152",0.49994071292151215
2868179,Tupa,Agno,Pangasinan,0.952087449,1.147432923,0.793311238,0.0,0,0,0,2877844,18.55820566723837,630735.6130200003,804560.2403940008,2855692.0953539987,884022.7483440009,1251537.9912180009,4255351.3163677445,"2967622, 2967623, 2967621, 2969005, 2967623, 2969004, 2969005, 2967621, 2967622, 2967623, 2967622, 2967623, 2969004, 2967621, 2967622",0.4999801125823439
2868180,Gayusan,Agno,Pangasinan,0.853294888,1.143231201,0.78782458,0.0,0,0,0,2877844,20.00298336229847,1169370.5493960008,1452670.155072001,5260477.135878,1657410.1901460022,2324512.411074003,3139875.477231503,"2967623, 2969005, 2969006, 2967623, 2967624, 2969005, 2967622, 2967623, 2969006, 2967622, 2967623, 2967624, 2967622",0.49999035284184046
2868181,Baruan,Agno,Pangasinan,0.926651032,1.173055376,0.762977794,0.0,0,0,0,2877844,21.38443406264124,461469.9069719999,456714.98179200006,1946575.179594,641093.7159000001,886698.4267439997,6818241.555850625,"2966240, 2966241, 2964857, 2964858, 2966240, 2964857, 2966239, 2964858, 2966240, 2966241, 2964857, 2964858, 2966239, 2966240",0.4999844010204983
2868182,Baruan,Agno,Pangasinan,0.926651032,1.173055376,0.762977794,0.0,0,0,0,2877844,22.671748637962207,1342275.6725999983,872479.3823999999,5067091.347300004,1597308.4277999983,2322137.4732,5172328.798880339,"2966241, 2964858, 2964859, 2966240, 2964858, 2964859, 2966240, 2966241, 2964859, 2966242, 2964858, 2966240",0.4999910440185504
2868183,Allabon,Agno,Pangasinan,0.860151653,1.176558568,0.785176357,0.0,0,0,1,2877844,24.427372376791727,1393985.708423999,931932.0714959996,5332554.615276005,1690497.074843999,2443255.1272800006,8448957.179014387,"2964857, 2964858, 2966240, 2964857, 2966239, 2964856, 2964858, 2966240, 2964857, 2964858, 2966239, 2964856, 2966240",0.4999949867091543
2868184,Allabon,Agno,Pangasinan,0.860151653,1.176558568,0.785176357,0.0,0,0,0,2877844,25.92910953624274,180985.125384,208084.4118359999,929121.4379160004,326160.264654,423911.78928000014,2739607.776331722,"2964858, 2964859, 2966240, 2964857, 2964858, 2964859, 2966240, 2966241, 2964859, 2964857, 2964858, 2966240",0.4999676237656183
2868185,Pogoruac,Burgos,Pangasinan,0.955769606,1.182768345,0.753957332,0.0,0,0,0,2877844,27.458669555633904,137893.42886400002,158540.50425599996,707902.047936,248503.058784,322980.4108800001,1932480.4194628887,"2964859, 2964858, 2964859, 2964860, 2966241, 2964859, 2966242, 2964860, 2964860, 2964858",0.49995721964835627
2868186,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0.934143909,1.178482135,0.7403578,0.0,0,0,0,2877844,29.001419514338583,371997.980244,366332.8038480001,1629615.0320999995,602372.2767480002,728889.2051760001,3964757.787728548,"2969001, 2969002, 2967619, 2969000, 2969000, 2969000, 2969001, 2967619, 2967618, 2969002",0.49998076173085776
2868187,Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,0.934143909,1.178482135,0.7403578,0.0,0,0,0,2877844,30.555361588882327,73506.67687800003,66100.006044,309996.51226200006,97978.80112199998,136794.50067600005,2173611.2268744707,"2969002, 2967619, 2967620, 2969001, 2967619, 2969002, 2969003, 2967620",0.4999666932231495
2868188,Tambobong,Dasol,Pangasinan,0.899873165,1.021503448,0.739193068,0.0,0,0,0,2877844,32.105755777488845,318361.93749000004,278147.89665000007,1327067.4471300007,397115.1173699998,583105.3490699996,1668942.222824514,"2967621, 2967620, 2969004, 2967621, 2967622, 2967622, 2969003, 2969004, 2967621, 2967622, 2967620",0.49997728315668905
2868189,Tambobong,Dasol,Pangasinan,0.899873165,1.021503448,0.739193068,0.0,0,0,0,2877844,33.47898072657916,290063.09860200004,253423.63917,1209105.896274,361815.9958259998,531273.7624859997,1615228.0269311068,"2966240, 2964857, 2966239, 2964858, 2966240, 2966241, 2964857, 2964858, 2966239, 2966240",0.49997608957425116
2868190,Tambobong,Dasol,Pangasinan,0.899873165,1.021503448,0.739193068,0.0,0,0,1,2877844,34.54103815423858,0.0,0.0,0.0,0.0,0.0,173101.32387757304,"2964857, 2966239, 2964856, 2964858, 2966240, 2964857, 2964858, 2966239, 2964856, 2966240",0.4997935879741639
2869544,Patar,Bolinao,Pangasinan,1.185849846,1.096260428,0.695560596,,0,1,1,2880597,11.958281412708534,137357.43425999995,91571.7096,587485.6662600001,217036.69038,278282.65662,493248.1451314688,"2967619, 2967620, 2969001, 2967619, 2967618, 2969002, 2967620",
2869545,Patar,Bolinao,Pangasinan,1.185849846,1.096260428,0.695560596,0.0,0,1,1,2880597,12.913072201782732,1359838.599173999,906559.9250400008,5816108.095973993,2148663.234762002,2754998.300537996,3163243.265108228,"2967620, 2967621, 2967619, 2969002, 2969003, 2967621, 2967620",0.5000007821918664
2869546,Catuday,Bolinao,Pangasinan,0.747140191,1.094020117,0.705713799,1.0,0,1,1,2877844,12.941734239693462,1148194.2857219998,737770.2580979997,4725100.410570002,1722578.628041999,2214085.3155179988,6980059.47199738,"2966238, 2966239, 2964855, 2964856, 2966238, 2966239, 2964855, 2964856, 2966237, 2966238, 2964855",0.5000194459071081
