ID,Neighbors
2875077,"2875077, 2875078, 2875078, 2873694, 2875077, 2873694, 2875077, 2875076"
2875078,"2875078, 2873695, 2873696, 2873696, 2875078, 2873695, 2875077, 2875078, 2875079, 2873696, 2875078, 2875077, 2875077"
2875079,"2875079, 2873696, 2875078, 2873697, 2873696, 2873696, 2875078, 2875078, 2875080, 2873697, 2875079, 2873696, 2875078"
2875080,"2875080, 2875081, 2875080, 2875081, 2873697, 2873698, 2875079, 2873697, 2875080, 2873697, 2875079"
2875088,"2875088, 2875087, 2873706, 2873705, 2875088, 2875089, 2873706, 2875088, 2875089, 2875089"
2875089,"2875089, 2875090, 2873706, 2875088, 2873707, 2875089, 2873707, 2875089, 2875090"
2875090,"2875090, 2873707, 2875089, 2873707, 2875089, 2873708, 2875091, 2875090, 2875091"
2875091,"2875091, 2875090, 2873709, 2875092, 2875091"
2875092,"2875092, 2875091"
2875093,"2875093, 2875094, 2873710, 2875093, 2875092"
2875094,"2875094, 2875095, 2875093, 2875095, 2875095"
2875095,"2875095, 2875096, 2875095, 2873713, 2875095, 2875096"
2875096,"2875096, 2875095, 2873714, 2873713, 2875095, 2875096, 2875097, 2873714, 2875097"
2875097,"2875097, 2873714, 2875097, 2873715"
2876452,"2876452, 2877835, 2877835, 2876453, 2876452, 2877835, 2876453, 2877835"
2876455,"2876455, 2876454, 2876456, 2876456, 2877838, 2876456, 2876455, 2876454, 2877838, 2877837"
2876458,"2876458, 2876459, 2877841, 2876457, 2877840, 2876459, 2877841, 2877840, 2876458, 2876457, 2876457, 2877840"
2876459,"2876459, 2876459, 2876460, 2877842, 2876460, 2876458, 2876459, 2877841, 2876459, 2877842, 2877841, 2876458"
2876460,"2876460, 2877842, 2877843, 2876461, 2876460, 2876459, 2876459, 2877842"
2876461,"2876461, 2877843, 2877843, 2876461, 2877843, 2876460, 2877844, 2877844, 2877843, 2876462, 2877844, 2876461, 2876460"
2876462,"2876462, 2876463, 2877845, 2877844, 2876463, 2877845, 2876463, 2876462, 2877845, 2877844, 2876461, 2877845, 2876461, 2877844, 2877844, 2876462, 2877844, 2876461"
2876467,"2876467, 2876466, 2876467, 2876468, 2877850, 2876466, 2877849, 2876467, 2876466, 2877849, 2876466"
