ID,Cluster,pred_y,actual_y
2926182,0,1,0
2926195,0,1,0
2926201,0,1,0
2926202,0,1,0
2926203,0,1,0
2926204,0,1,0
2926228,0,1,0
2926229,0,1,0
2926230,0,1,0
2926232,0,1,0
2926233,0,1,0
2926238,0,1,0
2926239,0,1,0
2926241,0,1,0
2926242,0,1,0
2926244,0,1,0
2927506,0,1,0
2927561,0,1,0
2927563,0,1,0
2927568,0,1,0
2927573,0,1,0
2927574,0,1,0
2927576,0,1,0
2927578,0,1,0
2927584,0,1,0
2927585,0,1,0
2927586,0,1,0
2927587,0,1,0
2927590,0,1,0
2927614,0,1,0
2927617,0,1,0
2927618,0,1,0
2927619,0,1,0
2927620,0,1,0
2927622,0,1,0
2927623,0,1,0
2927624,0,1,0
2927625,0,1,0
2928886,0,1,0
2928887,0,1,0
2928888,0,1,0
2928940,0,1,0
2928941,0,1,0
2928945,0,1,0
2928949,0,1,0
2928952,0,1,0
2928953,0,1,0
2928954,0,1,0
2928956,0,1,0
2928972,0,1,0
2928973,0,1,0
2928974,0,1,0
2928975,0,1,0
2928987,0,1,0
2928988,0,1,0
2928992,0,1,0
2928996,0,1,0
2928999,0,1,0
2929000,0,1,0
2929001,0,1,0
2929002,0,1,0
2929003,0,1,0
2929005,0,1,0
2930267,0,1,0
2930268,0,1,0
2930271,0,1,0
2930319,0,1,0
2930322,0,1,0
2930332,0,1,0
2930335,0,1,0
2930336,0,1,0
2930337,0,1,0
2930338,0,1,0
2930339,0,1,0
2930355,0,1,0
2930356,0,1,0
2930357,0,1,0
2930358,0,1,0
2930367,0,1,0
2930369,0,1,0
2930370,0,1,0
2930372,0,1,0
2930374,0,1,0
2930376,0,1,0
2930377,0,1,0
2930378,0,1,0
2930379,0,1,0
2930380,0,1,0
2930383,0,1,0
2930384,0,1,0
2930386,0,1,0
2931648,0,1,0
2931649,0,1,0
2931654,0,1,0
2931717,0,1,0
2931718,0,1,0
2931738,0,1,0
2931739,0,1,0
2931748,0,1,0
2931750,0,1,0
2931751,0,1,0
2931753,0,1,0
2931754,0,1,0
2931757,0,1,0
2931758,0,1,0
2931760,0,1,0
2931761,0,1,0
2931762,0,1,0
2931763,0,1,0
2931765,0,1,0
2931766,0,1,0
2931772,0,1,0
2933029,0,1,0
2933030,0,1,0
2933031,0,1,0
2933035,0,1,0
2933037,0,1,0
2933038,0,1,0
2933078,0,1,0
2933083,0,1,0
2933107,0,1,0
2933108,0,1,0
2933129,0,1,0
2933132,0,1,0
2933136,0,1,0
2933137,0,1,0
2933139,0,1,0
2933140,0,1,0
2933143,0,1,0
2933144,0,1,0
2933147,0,1,0
2933149,0,1,0
2934399,0,1,0
2934400,0,1,0
2934406,0,1,0
2934407,0,1,0
2934408,0,1,0
2934411,0,1,0
2934412,0,1,0
2934413,0,1,0
2934414,0,1,0
2934415,0,1,0
2934416,0,1,0
2934419,0,1,0
2934420,0,1,0
2934461,0,1,0
2934475,0,1,0
2934476,0,1,0
2934489,0,1,0
2934513,0,1,0
2934514,0,1,0
2934519,0,1,0
2934521,0,1,0
2934523,0,1,0
2934524,0,1,0
2934526,0,1,0
2934527,0,1,0
2934528,0,1,0
2934531,0,1,0
2935781,0,1,0
2935782,0,1,0
2935789,0,1,0
2935790,0,1,0
2935791,0,1,0
2935792,0,1,0
2935795,0,1,0
2935796,0,1,0
2935797,0,1,0
2935798,0,1,0
2935799,0,1,0
2935801,0,1,0
2935802,0,1,0
2935814,0,1,0
2935893,0,1,0
2935894,0,1,0
2935896,0,1,0
2935897,0,1,0
2935899,0,1,0
2935902,0,1,0
2935904,0,1,0
2935907,0,1,0
2935909,0,1,0
2935910,0,1,0
2935912,0,1,0
2935913,0,1,0
2935914,0,1,0
2937162,0,1,0
2937163,0,1,0
2937164,0,1,0
2937167,0,1,0
2937168,0,1,0
2937170,0,1,0
2937172,0,1,0
2937173,0,1,0
2937177,0,1,0
2937178,0,1,0
2937179,0,1,0
2937181,0,1,0
2937182,0,1,0
2937183,0,1,0
2937185,0,1,0
2937186,0,1,0
2937195,0,1,0
2937196,0,1,0
2937197,0,1,0
2937198,0,1,0
2937199,0,1,0
2937202,0,1,0
2937210,0,1,0
2937211,0,1,0
2937212,0,1,0
2937220,0,1,0
2937222,0,1,0
2937223,0,1,0
2937225,0,1,0
2937267,0,1,0
2937278,0,1,0
2937281,0,1,0
2937282,0,1,0
2937283,0,1,0
2937294,0,1,0
2938537,0,1,0
2938538,0,1,0
2938540,0,1,0
2938541,0,1,0
2938542,0,1,0
2938543,0,1,0
2938544,0,1,0
2938545,0,1,0
2938546,0,1,0
2938547,0,1,0
2938550,0,1,0
2938551,0,1,0
2938552,0,1,0
2938553,0,1,0
2938554,0,1,0
2938562,0,1,0
2938566,0,1,0
2938570,0,1,0
2938575,0,1,0
2938576,0,1,0
2938578,0,1,0
2938579,0,1,0
2938580,0,1,0
2938583,0,1,0
2938593,0,1,0
2938594,0,1,0
2938605,0,1,0
2938611,0,1,0
2938614,0,1,0
2938639,0,1,0
2938640,0,1,0
2938644,0,1,0
2938645,0,1,0
2938648,0,1,0
2938650,0,1,0
2938651,0,1,0
2938659,0,1,0
2938660,0,1,0
2938664,0,1,0
2938672,0,1,0
2938675,0,1,0
2938676,0,1,0
2938677,0,1,0
2938678,0,1,0
2939918,0,1,0
2939919,0,1,0
2939920,0,1,0
2939922,0,1,0
2939924,0,1,0
2939925,0,1,0
2939926,0,1,0
2939927,0,1,0
2939932,0,1,0
2939933,0,1,0
2939934,0,1,0
2939935,0,1,0
2939949,0,1,0
2939950,0,1,0
2939951,0,1,0
2939952,0,1,0
2939953,0,1,0
2939955,0,1,0
2939956,0,1,0
2939958,0,1,0
2939959,0,1,0
2939960,0,1,0
2939962,0,1,0
2939964,0,1,0
2939965,0,1,0
2939966,0,1,0
2939969,0,1,0
2939972,0,1,0
2939978,0,1,0
2939985,0,1,0
2939996,0,1,0
2939997,0,1,0
2940008,0,1,0
2940009,0,1,0
2940010,0,1,0
2940011,0,1,0
2940015,0,1,0
2940016,0,1,0
2940030,0,1,0
2940031,0,1,0
2940032,0,1,0
2940033,0,1,0
2940039,0,1,0
2940040,0,1,0
2940041,0,1,0
2940042,0,1,0
2940046,0,1,0
2940047,0,1,0
2940052,0,1,0
2940053,0,1,0
2940057,0,1,0
2940058,0,1,0
2940062,0,1,0
2940063,0,1,0
2941294,0,1,0
2941295,0,1,0
2941298,0,1,0
2941301,0,1,0
2941305,0,1,0
2941306,0,1,0
2941307,0,1,0
2941308,0,1,0
2941309,0,1,0
2941310,0,1,0
2941322,0,1,0
2941323,0,1,0
2941334,0,1,0
2941336,0,1,0
2941341,0,1,0
2941342,0,1,0
2941343,0,1,0
2941344,0,1,0
2941345,0,1,0
2941346,0,1,0
2941347,0,1,0
2941348,0,1,0
2941349,0,1,0
2941350,0,1,0
2941351,0,1,0
2941354,0,1,0
2941357,0,1,0
2941358,0,1,0
2941361,0,1,0
2941363,0,1,0
2941366,0,1,0
2941367,0,1,0
2941368,0,1,0
2941369,0,1,0
2941384,0,1,0
2941385,0,1,0
2941391,0,1,0
2941392,0,1,0
2941393,0,1,0
2941398,0,1,0
2941413,0,1,0
2941414,0,1,0
2941419,0,1,0
2941420,0,1,0
2941421,0,1,0
2941422,0,1,0
2941424,0,1,0
2941434,0,1,0
2941435,0,1,0
2941436,0,1,0
2941442,0,1,0
2941444,0,1,0
2942672,0,1,0
2942673,0,1,0
2942674,0,1,0
2942675,0,1,0
2942679,0,1,0
2942681,0,1,0
2942682,0,1,0
2942683,0,1,0
2942684,0,1,0
2942685,0,1,0
2942690,0,1,0
2942691,0,1,0
2942703,0,1,0
2942704,0,1,0
2942705,0,1,0
2942708,0,1,0
2942716,0,1,0
2942717,0,1,0
2942719,0,1,0
2942721,0,1,0
2942724,0,1,0
2942729,0,1,0
2942730,0,1,0
2942731,0,1,0
2942732,0,1,0
2942738,0,1,0
2942744,0,1,0
2942745,0,1,0
2942748,0,1,0
2942765,0,1,0
2942766,0,1,0
2942773,0,1,0
2942774,0,1,0
2942795,0,1,0
2942796,0,1,0
2942800,0,1,0
2942801,0,1,0
2942802,0,1,0
2942815,0,1,0
2942816,0,1,0
2942817,0,1,0
2942823,0,1,0
2942825,0,1,0
2944053,0,1,0
2944054,0,1,0
2944055,0,1,0
2944056,0,1,0
2944057,0,1,0
2944058,0,1,0
2944062,0,1,0
2944065,0,1,0
2944066,0,1,0
2944067,0,1,0
2944068,0,1,0
2944085,0,1,0
2944086,0,1,0
2944087,0,1,0
2944102,0,1,0
2944103,0,1,0
2944115,0,1,0
2944116,0,1,0
2944131,0,1,0
2944140,0,1,0
2944148,0,1,0
2944149,0,1,0
2944178,0,1,0
2944179,0,1,0
2944180,0,1,0
2944181,0,1,0
2944182,0,1,0
2944183,0,1,0
2944184,0,1,0
2944185,0,1,0
2944186,0,1,0
2944187,0,1,0
2944191,0,1,0
2944198,0,1,0
2944199,0,1,0
2944203,0,1,0
2945429,0,1,0
2945430,0,1,0
2945431,0,1,0
2945432,0,1,0
2945433,0,1,0
2945436,0,1,0
2945437,0,1,0
2945438,0,1,0
2945439,0,1,0
2945443,0,1,0
2945446,0,1,0
2945447,0,1,0
2945448,0,1,0
2945451,0,1,0
2945466,0,1,0
2945479,0,1,0
2945480,0,1,0
2945489,0,1,0
2945492,0,1,0
2945501,0,1,0
2945529,0,1,0
2945530,0,1,0
2945560,0,1,0
2945561,0,1,0
2945562,0,1,0
2945563,0,1,0
2945565,0,1,0
2945568,0,1,0
2945580,0,1,0
2945581,0,1,0
2945584,0,1,0
2945585,0,1,0
2946811,0,1,0
2946812,0,1,0
2946813,0,1,0
2946814,0,1,0
2946815,0,1,0
2946816,0,1,0
2946818,0,1,0
2946819,0,1,0
2946820,0,1,0
2946825,0,1,0
2946830,0,1,0
2946831,0,1,0
2946832,0,1,0
2946833,0,1,0
2946834,0,1,0
2946835,0,1,0
2946861,0,1,0
2946862,0,1,0
2946863,0,1,0
2946871,0,1,0
2946873,0,1,0
2946874,0,1,0
2946879,0,1,0
2946881,0,1,0
2946883,0,1,0
2946904,0,1,0
2946905,0,1,0
2946963,0,1,0
2946964,0,1,0
2946965,0,1,0
2946966,0,1,0
2946968,0,1,0
2948191,0,1,0
2948192,0,1,0
2948193,0,1,0
2948194,0,1,0
2948195,0,1,0
2948196,0,1,0
2948197,0,1,0
2948198,0,1,0
2948200,0,1,0
2948201,0,1,0
2948202,0,1,0
2948203,0,1,0
2948204,0,1,0
2948206,0,1,0
2948212,0,1,0
2948216,0,1,0
2948217,0,1,0
2948241,0,1,0
2948242,0,1,0
2948243,0,1,0
2948260,0,1,0
2948285,0,1,0
2948286,0,1,0
2948287,0,1,0
2948297,0,1,0
2948345,0,1,0
2948346,0,1,0
2949572,0,1,0
2949573,0,1,0
2949574,0,1,0
2949577,0,1,0
2949578,0,1,0
2949579,0,1,0
2949580,0,1,0
2949581,0,1,0
2949582,0,1,0
2949583,0,1,0
2949587,0,1,0
2949588,0,1,0
2949589,0,1,0
