ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_rep_,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3139174",Salvacion,Santa Elena,Camarines Norte,"4.357795499999999","1.852038166666667","14.678531833333333","6.0092855","7.071432666666666","0.686653830586596","1.865467742","2.266874313","0.823656222","0.0","0","0","0","3191699","55.71906616716238",26.146773,11.112229,190.917061,88.071191,42.428596,36.055713
"3139175",Polungguitguit,Santa Elena,Camarines Norte,"4.5259865","1.8815305","15.8371615","6.4449305","7.634316","6.415544596513112","1.92585589","2.269750214","0.840294395","0.0","0","0","0","3191699","55.06188110228048",9.051973,3.763061,66.939809,31.674323,15.268632,12.889861
"3139176",Polungguitguit,Santa Elena,Camarines Norte,"3.200528000000002","1.821576999999999","12.427583000000007","5.056154","5.703069","1.934149910081253","1.92585589","2.269750214","0.840294395","0.0","0","0","1","3191699","54.942559611236064",108.817952,61.933618,919.164466000001,422.537822,193.904346,171.909236
"3139177",San Vicente,Santa Elena,Camarines Norte,"2.18229","1.414726","9.030168","3.882972","4.605385","0.98714284925926","1.900343336","2.274449893","0.906342697","0.0","0","0","0","3191699","54.66555367571848",4.36458,2.829452,36.782882,18.060336,9.21077,7.765944
"3139178",San Vicente,Santa Elena,Camarines Norte,,,,,,"0.676543384998828","1.900343336","2.274449893","0.906342697","0.0","0","0","0","3191699","54.409952150509255",0,0,0,0,0,0
"3139179",San Pedro,Santa Elena,Camarines Norte,"2.592639803921566","1.505431882352941","10.1139742745098","4.009711607843142","4.80854107843137","3.508985681805694","1.349665393","2.257457415","0.968962322","0.0","0","1","1","3191699","54.20336727747728",132.22463,76.777026,1075.713171,515.812688,245.235595,204.495292
"3139180",San Pedro,Santa Elena,Camarines Norte,"2.705486","1.530376","10.412020999999998","4.044565000000001","4.864409000000002","0.98470601198966","1.349665393","2.257457415","0.968962322","0.0","0","1","0","3191699","54.04636114003439",21.643888,12.243008,174.681464,83.296168,38.915272,32.35652
"3139181",Plaridel,Santa Elena,Camarines Norte,"2.21388","1.289528","9.597282000000003","4.085407000000002","4.815759","1.308764619576304","1.660888891","2.264914989","0.9605296","0.0","0","0","0","3191699","53.939366681698885",30.99432,18.053392,277.03165,134.361948,67.420626,57.195698
"3139182",Kabuluan,Santa Elena,Camarines Norte,"2.213880000000002","1.289527999999999","9.597282000000003","4.085407000000003","4.815759000000008","2.358588716191967","1.856621504","2.272644679","0.943946818","0.0","0","0","1","3191699","53.88268182881079",123.97728,72.213568,1108.1266,537.447792,269.682504,228.782792
"3139183",Kabuluan,Santa Elena,Camarines Norte,"3.191393000000001","1.886975","11.955061","4.419826999999999","5.597603","3.163941137177844","1.856621504","2.272644679","0.943946818","0.0","0","0","0","3191699","53.87646537979623",102.124576,60.3832,817.401952,382.561952,179.123296,141.434464
"3139184",Tabugon,Santa Elena,Camarines Norte,"2.871533724999998","1.615539925000002","11.35812302499999","4.752065450000004","5.476540199999998","1.71385628818632","1.555188098","2.209468024","0.988583969","0.0","0","0","0","3191699","53.92073479195206",114.861349,64.6215970000001,969.264163,454.324921,219.061608,190.082618
"3139185",Tabugon,Santa Elena,Camarines Norte,"2.754122518518518","1.506775333333333","11.669830370370375","5.258704851851856","5.794888777777774","4.090664098137303","1.555188098","2.209468024","0.988583969","0.0","0","0","1","3191699","54.0153659372056",74.361308,40.682934,668.158364,315.08542,156.461997,141.985031
"3139186",Tabugon,Santa Elena,Camarines Norte,"3.43841","2.034978","15.999134","6.759868","8.13991","1.93208798567454","1.555188098","2.209468024","0.988583969","0.0","0","0","0","3191699","54.25261263680752",6.87682,4.069956,66.569494,31.998268,16.27982,13.519736
"3140553",Del Pilar,Capalonga,Camarines Norte,,,,,,"3.894079521615454","1.638902709","2.213439178","0.846122088","0.0","0","0","0","3191699","56.272035004717765",0,0,0,0,0,0
"3140554",Del Pilar,Capalonga,Camarines Norte,"1.968413999999998","0.607081000000001","6.622701000000006","2.557097999999997","2.860638999999999","2.651315478704594","1.638902709","2.213439178","0.846122088","0.0","0","0","1","3191699","55.554588445026354",143.694222,44.316913,1009.888278,483.457173,208.826647,186.668154
"3140555",Del Pilar,Capalonga,Camarines Norte,"1.968414","0.607081","6.622701","2.557098","2.860639","0.743681914498865","1.638902709","2.213439178","0.846122088","0.0","0","0","0","3191699","55.03853457099104",1.96841399983272,0.607080999948407,13.8340859988243,6.62270099943717,2.86063899975689,2.55709799978269
"3140556",Salvacion,Santa Elena,Camarines Norte,"3.172639285714286","1.172233","11.31658885714286","4.503369428571429","5.268354142857144","0.622833063385703","1.865467742","2.266874313","0.823656222","0.0","0","0","0","3191699","54.56071618761258",22.208475,8.205631,163.172832,79.216122,36.878479,31.523586
