ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youthmean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3109257",Pasonanca,City of Zamboanga,Zamboanga del Sur,"1.991738999999999","0.931808","7.174919000000002","2.970137","3.354508","0.926490882179768","0.908612108","0.698687633","0.906973672","1.0","0","0","0","3165865","106.86482390984035",13.942173,6.522656,111.129718,50.224433,23.481556,20.790959
"3109258",Cabatangan,City of Zamboanga,Zamboanga del Sur,"4.2881338","1.8620248","17.871673800000003","7.2137826","9.4600644","12.787566974866309","0.846327372","0.685695553","0.865336791","1.0","0","0","0","3165865","108.13993048463443",21.440669,9.310124,186.050466,89.358369,47.300322,36.068913
"3109259",Pasonanca,City of Zamboanga,Zamboanga del Sur,"3.262654598326383","1.857996263598306","15.598518092050265","6.309633849372422","8.569262179916292","49.549743491111045","0.908612108","0.698687633","0.906973672","0.0","0","0","1","3165865","109.53647514803173",1559.54889800001,888.12221399999,14832.9722740001,7456.09164800003,4096.10732199999,3016.00498000002
"3109260",Cabatangan,City of Zamboanga,Zamboanga del Sur,"1.729746487213993","1.193468109017505","8.97092162045766","3.704210060565317","4.967678706594938","56.34839447638146","0.846327372","0.685695553","0.865336791","0.0","0","0","1","3165865","110.93997263799857",1285.20164,886.746805000007,13031.5260969998,6665.39476400004,3690.98527900004,2752.22807500003
"3109261",Santa Maria,City of Zamboanga,Zamboanga del Sur,"3.443901439043847","1.669432752191215","15.137934417529989","6.484039596812742","8.258912047808662","110.59817710951263","0.953292575","0.686555624","0.845065083","0.0","0","0","1","3165865","112.28294683763217",4322.09630600003,2095.13810399998,37490.7110039998,18998.1076940001,10364.9346199999,8137.46969399999
"3109262",San Jose Cawa-cawa,City of Zamboanga,Zamboanga del Sur,"2.40182","1.486692","12.911732","6.074823","7.327268000000002","177.1566017633439","0.964612548",,"0.8196134","0.0","0","1","0","3165865","112.82689376568779",1.29591545239601,0.802153007200179,13.37371020578,6.96659742028799,3.9534685467882,3.27770482228923
"3109264",Santa Barbara,City of Zamboanga,Zamboanga del Sur,"0.378547","0.157243","1.607368","0.716327","0.780389","0.396021457163222","0.963876797","0.676386038","0.721419415","0.0","0","0","1","3165865","116.89436224817717",1.892735,0.786215,15.54954,8.03684,3.901945,3.581635
"3109265",Santa Barbara,City of Zamboanga,Zamboanga del Sur,,,,,,"0.373767373726723","0.963876797","0.676386038","0.721419415","0.0","0","0","0","3165865","117.47146546483096",0,0,0,0,0,0
"3110603",Danganon,Sirawai,Zamboanga del Norte,"25.240166","5.824654","106.785317","33.006371","51.774699","0.873360779136419","0.006914378","0.76736027","0.920482638","1.0","0","0","0","3165865","63.51142380606156",75.720498,17.473962,650.419656,320.355951,155.324097,99.019113
"3110604",Danganon,Sirawai,Zamboanga del Norte,,,,,,"1.171392313204706","0.006914378","0.76736027","0.920482638","1.0","0","0","0","3165865","63.91865800745925",0,0,0,0,0,0
"3110605",Cawit-cawit,Sibuco,Zamboanga del Norte,,,,,,"2.419024128573282","0.340687989","0.769867325","0.953577779","1.0","0","0","0","3165865","65.20044908585223",0,0,0,0,0,0
"3110606",Anongan,Sibuco,Zamboanga del Norte,"5.792304000000002","2.707784","24.181692","11.655246000000004","12.73836","2.112624537402933","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","66.03472448686074",63.715344,29.785624,534.587273,265.998612,140.12196,128.207706
"3110607",Anongan,Sibuco,Zamboanga del Norte,"5.792304000000002","2.707784000000002","24.181692","11.655245999999991","12.73836","1.336465046679887","0.938023536","0.76812511","0.929187215","1.0","0","0","1","3165865","67.01856320029361",214.315248,100.188008,1798.157191,894.722604,471.31932,431.244102
"3110608",Anongan,Sibuco,Zamboanga del Norte,,,,,,"0.750437312310548","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","67.92711322945759",0,0,0,0,0,0
"3110609",Anongan,Sibuco,Zamboanga del Norte,,,,,,"0.414747100457442","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","68.85622068601498",0,0,0,0,0,0
"3110610",Mantivo,Sibuco,Zamboanga del Norte,"7.142272","2.113529","27.330122","10.567647","12.754057","0.316670116077187","0.463003951","0.767333536","0.868625163","1.0","0","0","0","3165865","69.81195335602898",7.142272,2.113529,54.150081,27.330122,12.754057,10.567647
"3110611",Mantivo,Sibuco,Zamboanga del Norte,,,,,,"0.195343443485243","0.463003951","0.767333536","0.868625163","1.0","0","0","0","3165865","70.79323290024584",0,0,0,0,0,0
"3110612",Mantivo,Sibuco,Zamboanga del Norte,,,,,,"0.330415267690464","0.463003951","0.767333536","0.868625163","1.0","0","0","0","3165865","71.79901187707395",0,0,0,0,0,0
"3110613",Dinulan,Sibuco,Zamboanga del Norte,"11.325602","3.367071","28.773152","12.856089","14.080479","0.136258954589512","0.306712305","0.766734682","0.863483285","1.0","0","0","0","3165865","72.82827526216857",11.3256019990375,3.36707099971385,69.7901989940689,28.7731519975547,14.0804789988034,12.8560889989074
"3110614",Dinulan,Sibuco,Zamboanga del Norte,,,,,,"0.059958914515152","0.306712305","0.766734682","0.863483285","1.0","0","0","0","3165865","73.88004154027024",0,0,0,0,0,0
"3110615",Dinulan,Sibuco,Zamboanga del Norte,,,,,,"0.148723886485168","0.306712305","0.766734682","0.863483285","1.0","0","0","0","3165865","74.95336341768184",0,0,0,0,0,0
"3110616",Basak,Sibuco,Zamboanga del Norte,,,,,,"0.465961741511341","0.281570204","0.766940753","0.8795039","1.0","0","0","0","3165865","76.0473282020081",0,0,0,0,0,0
"3110617",Basak,Sibuco,Zamboanga del Norte,"2.111683999999999","0.83305","8.543603999999998","3.274079","4.126502000000001","0.614298541368782","0.281570204","0.766940753","0.8795039","1.0","0","0","0","3165865","77.15627623075756",38.010312,14.9949,310.708206,153.784872,74.277036,58.933422
"3110618",Jatian,Sibuco,Zamboanga del Norte,"2.956729454545457","1.163640303030302","12.088746424242428","4.822440212121212","6.105546848484856","3.160854049587762","0.948687405","0.758934438","0.851332074","1.0","0","0","1","3165865","78.29370902830425",195.144144,76.80026,1611.536542,797.857264,402.966092,318.281054
"3110619",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"3.942805888888888","1.650523777777778","16.620949888888887","6.836696277777778","8.605945722222222","2.63581650893748","0.379297713","0.750569968","0.834800285","1.0","0","0","1","3165865","79.44447231448972",70.970506,29.709428,601.788304,299.177098,154.907023,123.060533
"3110620",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"14.157003","7.365468","66.193555","29.07925","35.775129","1.802105455842924","0.379297713","0.750569968","0.834800285","1.0","0","0","0","3165865","80.61257209075409",28.314006,14.730936,262.47849,132.38711,71.550258,58.1585
"3110621",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"8.028693666666667","2.177168333333333","24.086794666666663","10.914618333333337","11.078251","1.133788784912654","0.379297713","0.750569968","0.834800285","1.0","0","0","0","3165865","81.7972656437403",24.086081,6.531505,158.97156,72.260384,33.234753,32.743855
"3110622",Santo Nino (Culabog),Sibuco,Zamboanga del Norte,"11.027354","2.904001","32.846602","14.716219","14.794706","0.830924393286124","0.379297713","0.750569968","0.834800285","1.0","0","0","0","3165865","82.99784240900966",33.082062,8.712003,217.2114,98.539806,44.384118,44.148657
"3110623",Tangarak,Sibuco,Zamboanga del Norte,"11.027354","2.904001","32.846602","14.716219","14.794706","0.724617643848709","0.217496482","0.755871723","0.862459741","1.0","0","0","0","3165865","84.2136230812241",33.082062,8.712003,217.2114,98.539806,44.384118,44.148657
"3110624",Tangarak,Sibuco,Zamboanga del Norte,"10.531180315789475","2.784111894736843","31.43454905263158","14.093631421052628","14.17897184210526","0.614528148115746","0.217496482","0.755871723","0.862459741","1.0","0","0","0","3165865","85.44395865504262",200.092426,52.898126,1316.329714,597.256432,269.400465,267.778997
"3110625",Tangarak,Sibuco,Zamboanga del Norte,"1.600054","0.626108","6.017596","2.887055","3.095757","0.114182665145823","0.217496482","0.755871723","0.862459741","1.0","0","0","0","3165865","86.68822941546969",8.00027,3.13054,65.30657,30.08798,15.478785,14.435275
"3110626",Tangarak,Sibuco,Zamboanga del Norte,"1.600054","0.626108","6.017596","2.887055","3.095757","0.111282296692385","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","87.94584389386522",2.09545227868395,0.819959473431678,17.1052728119842,7.8807248070374,4.05424508166711,3.78092613026554
"3110627",Tangarak,Sibuco,Zamboanga del Norte,"5.8059945","1.8674545","20.872449","9.0082775","10.109039","0.382211002557936","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","89.21623780339976",11.611989,3.734909,86.715992,41.744898,20.218078,18.016555
"3110628",Tangarak,Sibuco,Zamboanga del Norte,"1.922235","1.823236","10.064921","4.042468000000001","5.403708","0.589686914332329","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","90.0876753121732",3.84447,3.646472,43.163662,20.129842,10.807416,8.084936
"3110638",Pasonanca,City of Zamboanga,Zamboanga del Sur,"1.991739","0.931808","7.174919","2.970137","3.354508","0.435772467339248","0.908612108","0.698687633","0.906973672","1.0","0","0","0","3165865","103.62061955747332",9.958695,4.65904,79.37837,35.874595,16.77254,14.850685
"3110639",Pasonanca,City of Zamboanga,Zamboanga del Sur,"1.991738999999999","0.931808","7.174919000000002","2.970137","3.354508","0.761742249131203","0.908612108","0.698687633","0.906973672","1.0","0","0","0","3165865","105.10891508216972",13.942173,6.522656,111.129718,50.224433,23.481556,20.790959
"3110640",Pasonanca,City of Zamboanga,Zamboanga del Sur,"4.363049913669064","1.891175323741007","18.4905798705036","7.412039841726618","9.914802071942434","9.390855552506272","0.908612108","0.698687633","0.906973672","1.0","0","0","1","3165865","106.69923535539012",606.463938,262.87337,5311.616575,2570.190602,1378.157488,1030.273538
"3110641",Pasonanca,City of Zamboanga,Zamboanga del Sur,"5.283034321492054","2.867277394316172","24.04886300532845","9.472615895204251","12.988906937833102","107.14733659710203","0.908612108","0.698687633","0.906973672","0.0","0","0","1","3165865","108.08330800303877",2974.34832300003,1614.277173,27232.3336069999,13539.5098719999,7312.75460600004,5333.08274899999
"3110642",Santa Maria,City of Zamboanga,Zamboanga del Sur,"2.775894833656993","1.86864714951458","14.04030818446617","5.621938534627774","7.74864995598733","135.15151158741543","0.953292575","0.686555624","0.845065083","0.0","0","0","1","3165865","109.49299735196928",4288.75751800005,2887.05984600003,42750.9443220007,21692.2761450002,11971.6641820004,8685.89503599991
"3110643",Santa Maria,City of Zamboanga,Zamboanga del Sur,"1.160585364741619","0.778469294072941","5.768578051671672","2.456290212006092","3.263855525075975","51.9767834014609","0.953292575","0.686555624","0.845065083","0.0","0","0","1","3165865","110.9093087234514",1527.33033999997,1024.46559099999,15102.9438350001,7591.44871599992,4295.23387099998,3232.47791900002
"3110644",Barangay Zone I (Pob.),City of Zamboanga,Zamboanga del Sur,"1.609862089096585","0.839074024922099","6.781625494704118","2.80157302990655","3.68828086168219","72.50970945755641","0.961292151","0.686101794","0.826691607","0.0","0","0","1","3165865","112.22305217644768",2583.82865300002,1346.71380999997,21119.9213870004,10884.5089190001,5919.69078299992,4496.52471300001
"3110645",Barangay Zone III (Pob.),City of Zamboanga,Zamboanga del Sur,"0.982426","0.449733","3.416658","1.541317","1.825129","22.38178443908692","0.969166675","0.686101794","0.826674362","0.0","0","0","0","3165865","112.84782802628986",0.00255356282807504,0.00116896485980488,0.0171485894438095,0.0088807206497438,0.00474395177941317,0.00400625573578074
"3110647",Santa Barbara,City of Zamboanga,Zamboanga del Sur,"0.378547","0.157243","1.607368000000001","0.716327","0.780389","0.306868248596424","0.963876797","0.676386038","0.721419415","0.0","0","0","0","3165865","116.84014038797864",10.599316,4.402804,87.077424,45.006304,21.850892,20.057156
"3111969",Balagunan,Siocon,Zamboanga del Norte,,,,,,"4.20801305770874","0.817158978","0.729075023","0.913591458",,"0","0","0","3165865","54.83162419723062",0,0,0,0,0,0
"3111970",Balagunan,Siocon,Zamboanga del Norte,"12.665813","2.103179","39.91367","16.124375","18.601453","3.324902736846312","0.817158978","0.729075023","0.913591458","1.0","0","0","0","3165865","54.93546170539052",12.6658129989236,2.10317899982126,76.5089899934979,39.913669996608,18.6014529984192,16.1243749986297
"3111984",Minanga,Sirawai,Zamboanga del Norte,,,,,,"1.607932149402557","0.564873661","0.762304842","0.924508393","1.0","0","0","0","3165865","62.32626109313952",0,0,0,0,0,0
"3111985",Minanga,Sirawai,Zamboanga del Norte,,,,,,"0.926920116162903","0.564873661","0.762304842","0.924508393","1.0","0","0","0","3165865","62.850014309732686",0,0,0,0,0,0
"3111986",Cawit-cawit,Sibuco,Zamboanga del Norte,"5.90439577142857","2.758042685714286","21.719371085714275","7.60151948571429","12.236973371428578","3.383863272048809","0.340687989","0.769867325","0.953577779","1.0","0","0","1","3165865","63.41993580488531",206.653852,96.531494,1633.147932,760.177988,428.294068,266.053182
"3111987",Cawit-cawit,Sibuco,Zamboanga del Norte,,,,,,"1.173126362451088","0.340687989","0.769867325","0.953577779","1.0","0","0","0","3165865","64.50387429706744",0,0,0,0,0,0
"3111988",Anongan,Sibuco,Zamboanga del Norte,,,,,,"0.799568048225982","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","65.37757599022423",0,0,0,0,0,0
"3111989",Anongan,Sibuco,Zamboanga del Norte,,,,,,"0.404138125638877","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","66.28082941056002",0,0,0,0,0,0
"3111990",Anongan,Sibuco,Zamboanga del Norte,,,,,,"0.50831482644592","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","67.21244315175062",0,0,0,0,0,0
"3111991",Anongan,Sibuco,Zamboanga del Norte,,,,,,"0.195583990638188","0.938023536","0.76812511","0.929187215","1.0","0","0","0","3165865","68.1712545263475",0,0,0,0,0,0
"3111992",Mantivo,Sibuco,Zamboanga del Norte,,,,,,"0.150291349939121","0.463003951","0.767333536","0.868625163","1.0","0","0","0","3165865","69.15613230415467",0,0,0,0,0,0
"3111993",Mantivo,Sibuco,Zamboanga del Norte,,,,,,"0.179283096381336","0.463003951","0.767333536","0.868625163","1.0","0","0","0","3165865","70.1659788591234",0,0,0,0,0,0
"3111994",Dinulan,Sibuco,Zamboanga del Norte,,,,,,"0.056627487233571","0.306712305","0.766734682","0.863483285","1.0","0","0","0","3165865","71.19973178161527",0,0,0,0,0,0
"3111995",Dinulan,Sibuco,Zamboanga del Norte,,,,,,"0.06722849289683","0.306712305","0.766734682","0.863483285","1.0","0","0","0","3165865","72.25636501323558",0,0,0,0,0,0
"3111996",Dinulan,Sibuco,Zamboanga del Norte,,,,,,"0.032867425698854","0.306712305","0.766734682","0.863483285","1.0","0","0","0","3165865","73.33488956030985",0,0,0,0,0,0
"3111997",Basak,Sibuco,Zamboanga del Norte,"6.3293035","1.905703","16.015804","7.094547","7.830168","0.091475746620979","0.281570204","0.766940753","0.8795039","1.0","0","0","0","3165865","74.43435383997526",12.658607,3.811406,77.19578,32.031608,15.660336,14.189094
"3111998",Basak,Sibuco,Zamboanga del Norte,"1.333005","0.444335","3.258456","1.333005","1.579857","0.170756554231048","0.281570204","0.766940753","0.8795039","1.0","0","0","0","3165865","75.55384370956682",13.33005,4.44335,74.05581,32.58456,15.79857,13.33005
"3111999",Basak,Sibuco,Zamboanga del Norte,"2.111684","0.83305","8.543604","3.274079","4.126502000000001","0.370872555460249","0.281570204","0.766940753","0.8795039","1.0","0","0","1","3165865","76.69248222658761",2.111684,0.83305,17.261567,8.543604,4.126502,3.274079
"3112000",Jatian,Sibuco,Zamboanga del Norte,"2.111684","0.83305","8.543604","3.274079","4.126502000000001","0.25347990983276","0.948687405","0.758934438","0.851332074","1.0","0","0","0","3165865","77.84942918249426",6.335052,2.49915,51.784701,25.630812,12.379506,9.822237
"3112001",Culaguan,Sibuco,Zamboanga del Norte,"14.157003","7.365467999999998","66.19355500000002","29.07925","35.775129","1.610609816874655","0.547977017","0.769383403","0.939836519","1.0","0","0","0","3165865","79.0238804494567",169.884036,88.385616,1574.87094,794.32266,429.301548,348.951
"3112002",Cabbunan,Sibuco,Zamboanga del Norte,"12.754057","5.101623","41.068063","20.15141","20.661572","1.644555131094061","0.929069684","0.761323778","0.888500193","1.0","0","0","0","3165865","80.21506717526057",0.887428924494727,0.354971583713917,6.12325948855945,2.85752109929975,1.43763483402421,1.40213769652686
"3112003",Cabbunan,Sibuco,Zamboanga del Norte,"12.754057","5.101623","41.068063","20.15141","20.661572","0.491183821996339","0.929069684","0.761323778","0.888500193","1.0","0","0","0","3165865","81.42225485744832",63.770285,25.508115,440.01496,205.340315,103.30786,100.75705
"3112004",Cabbunan,Sibuco,Zamboanga del Norte,"11.027354000000004","2.904001","32.846602","14.716219","14.794706","0.946498837377598","0.929069684","0.761323778","0.888500193","1.0","0","0","0","3165865","82.6447423240835",15.7927335503222,4.15894094112417,103.692501522198,47.0409885652969,21.1881154639049,21.0757109579678
"3112005",Cabbunan,Sibuco,Zamboanga del Norte,"11.027354","2.904001","32.846602","14.716219","14.794706","1.556727542031196","0.929069684","0.761323778","0.888500193","1.0","0","0","1","3165865","83.88186064498595",44.109416,11.616004,289.6152,131.386408,59.178824,58.864876
"3112006",Tangarak,Sibuco,Zamboanga del Norte,"11.027354","2.904001","32.846602","14.716219","14.794706","0.771992315410925","0.217496482","0.755871723","0.862459741","1.0","0","0","0","3165865","85.1329719939825",9.39923376739549,2.47524331401262,61.7138292511286,27.9970055067245,12.6103596759376,12.5434607933315
"3112007",Tangarak,Sibuco,Zamboanga del Norte,"1.600054","0.626108","6.017596","2.887055","3.095757","0.17694772328634","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","86.39746847974202",4.800162,1.878324,39.183942,18.052788,9.287271,8.661165
"3112008",Tangarak,Sibuco,Zamboanga del Norte,"1.600054","0.626108","6.017596","2.887055","3.095757","0.13815546922359","0.217496482","0.755871723","0.862459741","0.0","0","0","0","3165865","87.67477096011098",1.600054,0.626108,13.061314,6.017596,3.095757,2.887055
