fid,RHU_Presence,Road_Presence,POI_Presence,buildability_landcov,Distance_to_Nearest_RHU_km,Nearest_RHU,Neighbors3,admin_boun,bg_name,popden_chi,cm_name,drought_value,popden_eld,flood_probability_value,popden_all,pr_name,rain_intensity_value,popden_wom,popden_w_1,popden_you,HCFAI
2978750,0,0,1,0.0,10.036864414975517,2969077,"2978750, 2978749, 2978750, 2978749, 2978751, 2978750, 2978749, 2977369, 2977368, 2977369, 2977368, 2978749, 2977369, 2977368, 2978751, 2978750, 2977368, 2978750, 2978749, 2978749, 2978750, 2978749, 2978751, 2978751",bg-3110,Abot Molina,1.77364956818182,Umingan,1.355173912,1.647293238636369,0.598914716,16.27574310227275,Pangasinan,0.485120296,8.085416124999982,3.846671193181812,2.903068636363637,0.4378770012923499
2978751,0,0,1,0.0,10.036864213328624,2969077,"2978751, 2978750, 2978750, 2978751, 2978750, 2977369, 2977370, 2977369, 2977370, 2977369, 2978751, 2978750, 2978750, 2978750, 2977370, 2978752, 2978751, 2978752, 2978751",bg-3110,Abot Molina,1.552286791666667,Umingan,1.355173912,1.091795416666668,0.598914716,12.268007249999982,Pangasinan,0.485120296,6.050872749999994,2.816228458333336,2.006466708333334,0.4378770012923499
2978752,0,0,1,1.0,10.304597036391328,2969077,"2978752, 2978751, 2978753, 2978751, 2977370, 2977371, 2977370, 2978751, 2977370, 2978752, 2978751, 2978753, 2977371, 2978752, 2978751",bg-3110,Abot Molina,1.359258436619715,Umingan,1.355173912,0.868709338028169,0.598914716,11.412425802816918,Pangasinan,0.485120296,5.528007295774634,2.773949915492956,1.985257845070427,0.5597240813987238
2978753,0,0,0,1.0,10.820206932915214,2969077,"2978753, 2978754, 2977372, 2977371, 2977372, 2978752, 2978754, 2978753, 2977372, 2977371, 2978752",bg-1246,Baracbac,0.901680295652173,Umingan,1.199654271,0.62882372173913,1.039596511,7.803298139130452,Pangasinan,0.238265991,3.756138956521733,1.931212426086953,1.3997657826087,0.5204138258847957
2978754,0,1,0,1.0,11.550546197130071,2969077,"2978754, 2978753, 2978755, 2978754, 2977373, 2977372, 2977372, 2978754, 2978753, 2977372",bg-1246,Baracbac,0.883241,Umingan,1.199654271,0.581455555555556,1.039596511,8.731736111111102,Pangasinan,0.238265991,4.277059777777782,2.288501,1.813938037037037,0.5900910613778251
2978755,0,0,0,1.0,12.336315997888438,2969077,"2978755, 2978754, 2978755, 2978754, 2977373, 2977374, 2978756, 2978754",bg-1246,Baracbac,0.88720625,Umingan,1.199654271,0.5844475,1.039596511,8.77728325,Pangasinan,0.238265991,4.2980235,2.30077975,1.8250275,0.5204138258847957
2978756,0,0,0,1.0,13.262802562792238,2969077,2978756,bg-3129,Diaz,0.994268,Umingan,1.45410491,0.66523,0.371113507,10.007056,Pangasinan,0.541277199,4.864044,2.632306,2.124443,0.5057344912314238
2979949,0,1,1,0.0,14.131641280861013,2971664,"2979949, 2981331, 2979950, 2979949",bg-329,Balaoi,0.504079,Pagudpud,0.900614924,0.211759,1.471806961,3.836984999999999,Ilocos Norte,2.70626655,1.857496,0.978235,0.743459,0.4796269240546862
2979950,0,1,1,0.0,13.139326955230898,2971664,"2979950, 2979949, 2981332, 2981331, 2979951, 2979950, 2979949",bg-329,Balaoi,0.504079,Pagudpud,0.900614924,0.211759,1.471806961,3.836984999999999,Ilocos Norte,2.70626655,1.857496,0.978235,0.743459,0.4796269240546862
2979951,0,0,1,1.0,11.917401913308236,2971664,"2979951, 2979950, 2981333, 2981332, 2979952, 2979951, 2979950",bg-329,Balaoi,0.458451454545454,Pagudpud,0.900614924,0.293997727272727,1.471806961,3.83947309090909,Ilocos Norte,2.70626655,1.812518909090908,0.934229909090909,0.681581545454545,0.5293991992828039
