ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3098872,Lapi,Penablanca,Cagayan,,,,,,0.005425131748323,0.006932971,1.077282292,0.707687637,0.0,0,0,0,3075388,29.566890766151356
3098873,Lapi,Penablanca,Cagayan,,,,,,0.006252785107983,0.006932971,1.077282292,0.707687637,0.0,0,0,0,3075388,28.60724347430592
3098874,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.007612141406737,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,27.71268001642956
3098875,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.007771835404619,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,26.889696787649896
3098876,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.012696889823238,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,26.145054185916944
3098877,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.013344630862361,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,25.485620045838143
3098878,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.012521736835901,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,24.91816016101099
3098879,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.01276740161412,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,24.449079506603585
3098880,Tupa (San Vicente),San Pablo,Isabela,,,,,,0.012217851649944,1.014084169,1.0232314,0.767392909,0.0,0,0,0,3075388,24.084127098996788
3098881,Caddangan/Limbauan,San Pablo,Isabela,,,,,,0.010426608641556,1.086449458,1.114413618,0.809021216,0.0,0,0,0,3075388,23.828087927467596
3098882,Caddangan/Limbauan,San Pablo,Isabela,,,,,,0.012694814336528,1.086449458,1.114413618,0.809021216,0.0,0,0,0,3075388,23.684494452352293
3098883,Caddangan/Limbauan,San Pablo,Isabela,,,,,,0.011312466816441,1.086449458,1.114413618,0.809021216,0.0,0,0,0,3075388,23.65539447866401
3098884,Masipi East,Cabagan,Isabela,,,,,,0.009617962828225,1.097065688,1.164361168,0.79521175,0.0,0,0,0,3075388,23.741209025224805
3098885,Masipi East,Cabagan,Isabela,,,,,,0.003254605835839,1.097065688,1.164361168,0.79521175,0.0,0,0,0,3075388,23.94070240917141
3098886,Masipi East,Cabagan,Isabela,,,,,,0.004287863666832,1.097065688,1.164361168,0.79521175,0.0,0,0,0,3078162,23.69315586362742
3098887,Mabangug,Cabagan,Isabela,,,,,,0.008634204253516,1.05947125,1.187237034,0.861960305,0.0,0,0,0,3078162,23.030792269974704
3098888,Mabangug,Cabagan,Isabela,,,,,,0.010805999246268,1.05947125,1.187237034,0.861960305,1.0,0,0,0,3078162,22.470292167984844
3098889,Camasi,Tumauini,Isabela,,,,,,0.013605263869374,1.036545999,1.229081426,0.839630128,1.0,0,0,0,3078162,22.01943567941572
3098890,Camasi,Tumauini,Isabela,,,,,,0.010716120157944,1.036545999,1.229081426,0.839630128,1.0,0,0,0,3078162,21.685062725884656
3098891,Banig,Tumauini,Isabela,,,,,,0.353093243493874,0.827008832,1.244063882,0.782363674,1.0,0,0,0,3086463,21.267489350381883
3098892,Antagan I,Tumauini,Isabela,,,,,,0.288984183518532,0.864639797,1.278201565,0.86150882,1.0,0,0,0,3086463,19.95761131476036
3098893,Antagan I,Tumauini,Isabela,,,,,,0.046329593266583,0.864639797,1.278201565,0.86150882,0.0,0,0,0,3086463,18.701635268547378
3098894,Caligayan,Tumauini,Isabela,,,,,,0.042937151676622,0.840610229,1.298558852,0.844411807,0.0,0,0,0,3086463,17.511163311300255
3098895,Caligayan,Tumauini,Isabela,,,,,,0.066344599335872,0.840610229,1.298558852,0.844411807,0.0,0,0,0,3086463,16.400466031439827
3098896,Capellan,City of Ilagan,Isabela,,,,,,0.077343501240529,0.82856349,1.350603352,0.995320772,1.0,0,0,0,3086463,15.3868287370612
3098897,Capellan,City of Ilagan,Isabela,,,,,,0.077337560237482,0.82856349,1.350603352,0.995320772,1.0,0,0,1,3086463,14.490634160920369
3098898,Pasa,City of Ilagan,Isabela,,,,,,0.56795641983566,0.91996898,1.380685633,0.989264159,1.0,0,0,0,3086463,13.734890815697632
3098899,Santa Victoria,City of Ilagan,Isabela,,,,,,0.283861266745274,0.862886713,1.391783033,1.030512918,1.0,0,0,0,3086463,13.143848022880052
3098900,Santa Victoria,City of Ilagan,Isabela,1.12275,0.706401,5.290359,2.181763,2.833155,0.310332518998991,0.862886713,1.391783033,1.030512918,1.0,0,0,0,3086463,12.740448345248671
3098901,Rang-ayan (Bintacan),City of Ilagan,Isabela,0.100673,0.05119,0.373686,0.149304,0.175752,0.099160382272772,0.729980308,1.418676376,1.017353039,1.0,0,0,0,3086463,12.542809715165347
3098902,Rang-ayan (Bintacan),City of Ilagan,Isabela,0.100673,0.05119,0.373686,0.149304,0.175752,0.070812288697513,0.729980308,1.418676376,1.017353039,1.0,0,0,1,3086463,12.56064869545568
3098903,Batong-Labang,City of Ilagan,Isabela,0.455611578475339,0.222520713004485,1.789135910313899,0.79418841704036,0.883594636771304,3.713689444548097,0.951318202,1.414873123,1.038396405,1.0,0,0,1,3086463,12.793063925436268
3098904,Batong-Labang,City of Ilagan,Isabela,0.357248666666667,0.162189416666667,1.396398135416671,0.601238677083335,0.727594500000001,1.240095438979745,0.951318202,1.414873123,1.038396405,1.0,0,0,0,3086463,13.22875060851442
3098905,Cabeseria 27 (Abuan),City of Ilagan,Isabela,0.0941,0.040043,0.392418,0.168179,0.212226,0.342946580057496,0.953884982,1.436645746,1.123199449,1.0,0,0,0,3086463,13.848536749378503
3098906,Cabeseria 10 (Lapigui),City of Ilagan,Isabela,0.10428259025788,0.045703922636103,0.444771169054443,0.195409699140402,0.243506257879657,0.906678231472665,0.969378181,1.44759531,1.174975111,1.0,0,0,0,3086463,14.629041908888984
3098907,Sindon Maride,City of Ilagan,Isabela,1.561270138297874,0.861114404255319,7.943733212765966,4.094974563829794,4.72063443617022,2.789914896504746,0.910367319,1.567001196,1.195735844,0.0,0,0,0,3086463,15.546077773606925
3098908,Sindon Maride,City of Ilagan,Isabela,0.240038823529412,0.200433882352941,1.214834764705882,0.507702176470588,0.656375823529412,1.244282553946845,0.910367319,1.567001196,1.195735844,0.0,0,0,0,3086463,16.577001275055963
3098909,Sindon Maride,City of Ilagan,Isabela,0.170390976,0.147189672,0.968414224,0.389819999999999,0.520530887999999,0.406552554896245,0.910367319,1.567001196,1.195735844,1.0,0,0,0,3086463,17.7019258506875
3098910,Old San Mariano,San Mariano,Isabela,0.166598,0.147559,0.95675,0.383176,0.514075,0.316992833186261,0.74626232,1.643040397,1.238171793,1.0,0,0,0,3086463,18.90407778902604
3098911,Old San Mariano,San Mariano,Isabela,0.985304888888889,0.486598088888889,4.255135688888886,1.77976431111111,2.209784466666667,1.094435106063711,0.74626232,1.643040397,1.238171793,1.0,0,0,0,3086463,20.16965310123824
3098912,Old San Mariano,San Mariano,Isabela,1.051235869565214,0.559200357859531,4.552152471571902,1.960069287625415,2.418472454849495,9.804392741927018,0.74626232,1.643040397,1.238171793,1.0,0,0,1,3086463,21.48744811733089
