ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
3116838,Santa Marina (Dianggo),Maconacon,Isabela,0.078517,0.047429,0.44041,0.207252,0.233158,0.414607228261643,0.006893652,1.079011069,0.534481017,0.0,0,0,0,3075388,45.47580426500109,0.45521597543955616
3116839,Santa Marina (Dianggo),Maconacon,Isabela,0.078517,0.047429,0.44041,0.207252,0.233158,0.028454912184327,0.006893652,1.079011069,0.534481017,1.0,0,0,0,3075388,44.900868911295206,0.5764143241298857
3116840,Reina Mercedes,Maconacon,Isabela,0.488475666666667,0.150139,1.683744,0.725031333333333,0.864507333333333,0.149416782197384,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,44.36618838504965,0.5741523977306632
3116841,Reina Mercedes,Maconacon,Isabela,0.693455,0.201494,2.305411,0.983921,1.180181999999999,0.303858222204203,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,43.8887092586077,0.5741523977306632
3116842,Reina Mercedes,Maconacon,Isabela,0.693455,0.201494,2.305411000000001,0.983921000000001,1.180182000000001,0.104674750001266,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,43.46781740007224,0.5741523977306632
3116843,Reina Mercedes,Maconacon,Isabela,0.693455,0.201494,2.305411000000003,0.983921,1.180182,0.184518525202897,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,43.10601050106216,0.5741523977306632
3116844,Aplaya,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.044076009407743,0.007006399,1.132994444,0.562063337,1.0,0,0,0,3075388,42.80478683545813,0.5730474695541464
3116845,Aplaya,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.036193763411839,0.007006399,1.132994444,0.562063337,1.0,0,0,0,3075388,42.5654326176535,0.5730474695541464
3116846,Aplaya,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.024202246507951,0.007006399,1.132994444,0.562063337,1.0,0,0,0,3075388,42.38899592207134,0.5730474695541464
3116847,Canadam,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.023590100954833,0.007157854,1.215606972,0.540876957,1.0,0,0,0,3075388,42.2762645033448,0.5725810215113093
3116852,Fely (Pob.),Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.016555229930914,0.006781264,1.236000354,0.532438027,0.0,0,0,0,3086463,39.6594352409858,0.45124824760791354
3116853,Fely (Pob.),Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.043418209738772,0.006781264,1.236000354,0.532438027,0.0,0,0,0,3086463,38.657127212526895,0.45124824760791354
3116854,Diana,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.007472770392959,0.006745481,1.258960847,0.549753655,0.0,0,0,0,3086463,37.70040659709841,0.44927944222059896
3116855,Diana,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.051015586425261,0.006745481,1.258960847,0.549753655,0.0,0,0,0,3086463,36.79282978630058,0.44927944222059896
3116856,Dicaroyan,Divilacan,Isabela,0.0,0.0,0.0,0.0,0.0,0.045827339471005,0.908319147,1.276707967,0.626980118,0.0,0,0,0,3086463,35.938120191289094,0.4013532330964815
3116857,Dicaroyan,Divilacan,Isabela,0.0,0.0,0.0,0.0,0.0,0.053359837106527,0.908319147,1.276707967,0.626980118,0.0,0,0,0,3086463,35.140135677768995,0.4013532330964815
3116858,Dicaroyan,Divilacan,Isabela,0.0,0.0,0.0,0.0,0.0,0.036849011773051,0.908319147,1.276707967,0.626980118,0.0,0,0,0,3086463,34.40282374537484,0.4013532330964815
3116859,Dicaroyan,Divilacan,Isabela,0.0,0.0,0.0,0.0,0.0,0.01367034955123,0.908319147,1.276707967,0.626980118,0.0,0,0,0,3086463,33.73016338173144,0.4013532330964815
3116860,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.01457831399708,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,33.1260932804695,0.40343583989548776
3116861,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.0139399523622,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,32.59442720349483,0.40343583989548776
3116862,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.004387148877542,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,32.138758658591655,0.40343583989548776
3116863,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.003002233525636,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,31.76235864138779,0.40343583989548776
3116864,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.002674104895539,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,31.46807175589479,0.40343583989548776
