ID,barangay_name,city_name,province_name,children,elderly,women,youth,women_rep,ph_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
2908526,San Nicolas,Coron,Palawan,0.3387918,0.1568018,1.278466,0.4765224,0.5952042,0.166993384226472,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2908526,3.09940842964244e-12
2908527,Guadalupe,Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533137,0.274676334836879,1.016505373,1.411770843,0.975735755,1.0,0,0,1,2908527,0.0
2908528,Guadalupe,Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533136999999999,0.803469513905676,1.016505373,1.411770843,0.975735755,1.0,0,0,0,2908528,0.0
2908529,Guadalupe,Coron,Palawan,0.298143000000001,0.107663,1.106648,0.450319999999999,0.533136999999998,1.959250831848955,1.016505373,1.411770843,0.975735755,1.0,0,0,1,2908529,0.271386828412867
2908530,Barangay VI (Pob.),Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533137,0.729945023281452,1.024707842,1.448780775,0.917050824,1.0,0,0,0,2908530,0.247482572161142
2908531,Barangay VI (Pob.),Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533137,0.887431268269817,1.024707842,1.448780775,0.917050824,0.0,0,0,0,2908531,0.466445133851246
2908532,Lajala,Coron,Palawan,0.720681,0.322543,2.928083,1.214575,1.466561,0.827530606202997,1.016902757,1.442352804,0.874963194,1.0,0,0,0,2908532,0.107515835392422
2908533,Lajala,Coron,Palawan,,,,,,1.128722512722015,1.016902757,1.442352804,0.874963194,,0,0,0,2908533,0.459644426822786
2908545,Bulalacao,Coron,Palawan,,,,,,0.815360746885601,1.253846567,1.392168318,0.607303503,0.0,0,0,0,2908545,0.0904552175506922
2908546,Bulalacao,Coron,Palawan,,,,,,1.109289246978182,1.253846567,1.392168318,0.607303503,0.0,0,0,0,2908546,0.279622179767086
2908547,Bulalacao,Coron,Palawan,1.327595,0.350485,4.673135,1.890495,2.191417,1.380911374899829,1.253846567,1.392168318,0.607303503,1.0,0,0,0,2908547,0.0783522862673738
2908548,Bulalacao,Coron,Palawan,1.327595,0.350485,4.673135,1.890495,2.191417,0.640559946449058,1.253846567,1.392168318,0.607303503,1.0,0,0,0,2908548,0.0341179013788305
2908567,Nangalao,Linapacan,Palawan,,,,,,1.367080756911525,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2908567,0.0673880149197813
2908568,Nangalao,Linapacan,Palawan,,,,,,1.814450907111168,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2908568,0.10197407373056
2908569,Nangalao,Linapacan,Palawan,,,,,,2.494382065945658,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2908569,0.319044281183607
2908570,Nangalao,Linapacan,Palawan,,,,,,2.467897589390094,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2908570,0.114024059195553
2909790,Vigo,Lubang,Occidental Mindoro,0.728649374045801,0.881540717557254,3.66580872519083,1.384827442748089,1.678738366412211,2.382605393571704,0.920229614,1.137996225,0.848267467,0.0,0,0,0,2909790,0.0283963012305734
2909791,Tilik,Lubang,Occidental Mindoro,,,,,,0.171981674485039,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2909791,3.52774072271438e-13
2909792,Tilik,Lubang,Occidental Mindoro,,,,,,0.068924544751644,0.9316639,1.141190806,0.831494864,1.0,0,0,1,2909792,1.76387036135719e-13
2909793,Tilik,Lubang,Occidental Mindoro,,,,,,0.0471737128715,0.9316639,1.141190806,0.831494864,1.0,0,0,0,2909793,0.0
2909794,Tilik,Lubang,Occidental Mindoro,,,,,,0.038083170260583,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2909794,1.76387036135719e-13
2909795,Tilik,Lubang,Occidental Mindoro,,,,,,0.060352397014524,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2909795,3.5346443249114697e-13
2909796,Tilik,Lubang,Occidental Mindoro,,,,,,0.284488165804318,0.9316639,1.141190806,0.831494864,1.0,0,0,0,2909796,0.120879822238005
2909901,Decabobo,Coron,Palawan,,,,,,0.342531109658571,0.874204453,1.426409403,0.834451978,,0,0,0,2909901,0.0771943560471953
2909902,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.160067507527142,0.874204453,1.426409403,0.834451978,1.0,0,0,0,2909902,0.253041544758751
2909903,Decabobo,Coron,Palawan,,,,,,0.29578816334064,0.874204453,1.426409403,0.834451978,1.0,0,0,0,2909903,0.161679569123829
2909904,San Nicolas,Coron,Palawan,0.351620555555556,0.150763666666667,1.36464088888889,0.548619444444444,0.626764111111111,0.316297230356974,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2909904,0.080178359790509
2909905,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.219218936868203,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2909905,5.29506288517012e-13
2909906,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.366880909187634,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2909906,0.0
2909907,San Nicolas,Coron,Palawan,0.399764999999999,0.23051,1.536193,0.515826,0.688305,0.652145932714846,0.887319886,1.528612256,0.891769144,1.0,0,0,1,2909907,0.0
2909908,Guadalupe,Coron,Palawan,0.325858090909091,0.141166727272727,1.22379663636364,0.468185272727273,0.575455545454545,0.199117239999055,1.016505373,1.411770843,0.975735755,1.0,0,0,0,2909908,5.29161108407157e-13
2909909,Guadalupe,Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533136999999999,0.252164532387384,1.016505373,1.411770843,0.975735755,1.0,0,0,1,2909909,1.76732216245574e-13
2909910,Barangay VI (Pob.),Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533136999999999,0.55521731204995,1.024707842,1.448780775,0.917050824,1.0,0,0,0,2909910,1.76387036135719e-13
2909911,Barangay V (Pob.),Coron,Palawan,0.403666223495701,0.143656022922637,1.55136178223496,0.658846633237826,0.782883289398284,2.20332050197116,0.866261395,1.443925619,0.906664328,1.0,0,0,1,2909911,1.76732216245574e-13
2909912,Barangay V (Pob.),Coron,Palawan,0.486471153846153,0.19584952991453,2.06514600854701,0.899628529914532,1.093898752136753,3.906524354503268,0.866261395,1.443925619,0.906664328,1.0,0,0,1,2909912,0.108522995770324
2909913,Lajala,Coron,Palawan,0.720681,0.322543,2.928083,1.214575,1.466561,0.446494798036827,1.016902757,1.442352804,0.874963194,0.0,0,0,1,2909913,0.054948895848035
2909914,Lajala,Coron,Palawan,0.720681,0.322543,2.928083,1.214574999999999,1.466560999999999,0.479864496360266,1.016902757,1.442352804,0.874963194,1.0,0,0,0,2909914,0.107591867929243
2909915,Lajala,Coron,Palawan,,,,,,2.411323246784489,1.016902757,1.442352804,0.874963194,1.0,0,0,0,2909915,0.242587446492104
2909916,Banuang Daan,Coron,Palawan,,,,,,0.745117302983999,0.694568878,1.529193878,0.776632689,1.0,0,0,0,2911299,1.03232932287117
2909927,Bulalacao,Coron,Palawan,,,,,,0.436617039617092,1.253846567,1.392168318,0.607303503,0.0,0,0,0,2909927,0.04607784856693
2909928,Bulalacao,Coron,Palawan,,,,,,0.507600654098723,1.253846567,1.392168318,0.607303503,0.0,0,0,0,2909928,0.056524713718536
2909929,Bulalacao,Coron,Palawan,1.327595,0.350485,4.673135,1.890495,2.191417,1.112813238958711,1.253846567,1.392168318,0.607303503,1.0,0,0,0,2909929,0.181119704943701
2909948,Nangalao,Linapacan,Palawan,,,,,,1.24563347751444,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2909948,0.0223324506844416
2909949,Nangalao,Linapacan,Palawan,,,,,,1.273845600653748,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2909949,0.0725142889256632
2909950,Nangalao,Linapacan,Palawan,,,,,,,0.801097405,1.11516428,0.502533381,,0,0,0,2908569,0.735142474265586
2911172,Vigo,Lubang,Occidental Mindoro,0.514588,0.705484,2.694673,0.982145,1.225606,1.981287860509121,0.920229614,1.137996225,0.848267467,0.0,0,0,0,2911172,0.0714868751308229
