ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3172661,Cabatuanan,Basay,Negros Oriental,2.590475,1.260410333333333,8.618885333333337,3.345726,3.745077333333334,0.902918021661955,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,20.273454224944576
3172662,Linantayan,Basay,Negros Oriental,4.38713695652174,2.56708354347826,17.57097858695652,7.724160000000002,8.340664978260872,1.754450455254931,0.57824909,0.611604797,1.071062519,1.0,0,0,1,3187871,19.273789347036
3172663,Linantayan,Basay,Negros Oriental,19.6226,11.435239,76.054489,36.132649,36.673962,2.762432147775378,0.57824909,0.611604797,1.071062519,1.0,0,0,0,3187871,18.368077772861223
3172664,Linantayan,Basay,Negros Oriental,20.549849,8.620912000000002,77.43784499999998,29.070518,35.78681,3.499553218909672,0.57824909,0.611604797,1.071062519,1.0,0,0,0,3187871,17.570854338554895
3172665,Nagbo-alao,Basay,Negros Oriental,11.209665499999998,4.894443000000002,42.7363205,16.1226915,19.855095500000004,2.566779331437179,0.848638836,0.613232476,1.053756216,1.0,0,0,0,3187871,16.89748144818667
3172666,Nagbo-alao,Basay,Negros Oriental,1.869482,1.167974,8.034796,3.174865,3.923381,1.307171625324658,0.848638836,0.613232476,1.053756216,1.0,0,0,0,3187871,16.363256171431978
3172667,Nagbo-alao,Basay,Negros Oriental,3.022529512195123,1.589990512195123,11.399925121951211,4.50431507317073,5.519754902439024,3.531145857075068,0.848638836,0.613232476,1.053756216,1.0,0,0,1,3187871,15.81747251832094
3174038,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.104020206568142,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,25.598273998532335
3174039,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.301243,0.741266,7.578614,3.16421,3.374419,0.224416014432472,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,24.741989571477408
3174040,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.447301253782473,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,23.43878768411839
3174041,Cabatuanan,Basay,Negros Oriental,,,,,,0.432076085358858,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,22.15397407179672
3174042,Cabatuanan,Basay,Negros Oriental,4.976587999999996,1.396937000000001,15.278999,6.722758999999998,6.984685000000004,0.511223404606183,0.725551394,0.602248731,1.068460254,1.0,0,0,1,3187871,20.920364365394544
3174043,Cabatuanan,Basay,Negros Oriental,,,,,,1.428574077317635,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,19.766803504030957
3174044,Cabatuanan,Basay,Negros Oriental,2.865775,1.273678,8.517720999999996,3.279719999999998,3.550376999999998,1.065764216440064,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,18.647027607584636
3174045,Linantayan,Basay,Negros Oriental,2.865775,1.273678,8.517720999999998,3.279719999999999,3.550376999999999,1.298708428016731,0.57824909,0.611604797,1.071062519,1.0,0,0,1,3187871,17.6323156251947
3174046,Linantayan,Basay,Negros Oriental,19.6226,11.435239,76.054489,36.132649,36.673962,2.717955158438001,0.57824909,0.611604797,1.071062519,1.0,0,0,0,3187871,16.71905348834146
3174047,Actin,Basay,Negros Oriental,20.549849,8.620912000000002,77.43784499999998,29.070518,35.78681,3.303309252006667,0.793061992,0.618180699,1.07826082,1.0,0,0,0,3187871,15.92470484700709
3174048,Actin,Basay,Negros Oriental,4.120669999999999,1.991911000000001,14.604809999999995,5.770458,7.040110999999998,1.381912218081994,0.793061992,0.618180699,1.07826082,1.0,0,0,1,3187871,15.26784134081065
3174049,Actin,Basay,Negros Oriental,4.12067,1.991911,14.60481,5.770458000000002,7.040111,0.982206631132535,0.793061992,0.618180699,1.07826082,1.0,0,0,0,3187871,14.766821388646065
3174050,Nagbo-alao,Basay,Negros Oriental,4.12067,1.991911000000001,14.604809999999992,5.770458000000002,7.040110999999998,2.931847319974528,0.848638836,0.613232476,1.053756216,1.0,0,0,0,3187871,14.449251321928871
3175419,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.131667023704898,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,25.768393247568024
3175420,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.179938201180526,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,24.671262523513157
3175421,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.59460969700345,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,23.279422787768624
3175422,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.803368378111294,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,21.923345968373432
3175423,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.658853197310652,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,20.610092527855954
3175424,Tayawan,City of Bayawan (Tulong),Negros Oriental,14.234604,7.158443,54.140865,22.298137,24.026037,1.69515485517735,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,19.34838422596657
