ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,general_me,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"2955370",Patungan,Maragondon,Cavite,"1.568956432692308","0.55729883653846","5.805945634615374","2.55783650961539","2.876521288461538","1.048183801387428","0.175822888","1.409887314","0.958695523","1.0","0","0","1","2971948","19.6654766398885",163.171469,57.9590789999999,1280.125742,603.818345999999,299.158214,266.014997000001
"2955371",Papaya,Nasugbu,Batangas,,,,,,"0.249988649483327","0.56738605","1.355278015","0.956775958","1.0","0","0","0","2971948","20.5093723413487",0,0,0,0,0,0
"2955372",Papaya,Nasugbu,Batangas,"1.150500999999999","0.298401","3.753219000000001","1.661098000000001","1.946235999999999","1.1937750214842","0.56738605","1.355278015","0.956775958","1.0","0","1","0","2971948","21.5704291589192",42.568537,11.040837,299.451841,138.869103,72.010732,61.460626
"2955373",Looc,Nasugbu,Batangas,"1.053528588652482","0.340814191489361","3.628048751773049","1.558662645390074","1.866461815602836","2.964328052980375","0.553296669","1.413892312","1.019925365","1.0","0","0","1","2971948","22.7018841108785",148.547531,48.0548009999999,1091.452958,511.554874,263.171116,219.771433
"2955374",Calayo,Nasugbu,Batangas,"0.991500333333333","0.45848502020202","3.865088242424245","1.60360097979798","1.945077656565659","4.562032885795092","0.565027638","1.360594654","1.046446899","1.0","0","0","0","2971948","23.8939233701956",98.1585329999999,45.390017,795.383409999999,382.643736,192.562688,158.756497
"2955375",Calayo,Nasugbu,Batangas,"1.162796999999999","0.556657999999999","4.692424000000004","1.995722999999998","2.333842000000002","4.338531527254317","0.565027638","1.360594654","1.046446899","1.0","0","0","0","2971948","25.1149149704162",112.791309,53.9958259999999,935.928264999999,455.165128,226.382674,193.585131
"2955376",Balaytigui,Nasugbu,Batangas,"0.485633549295774","0.165483690140845","1.815054676056338","0.697948436619719","0.948242014084507","2.170086148024445","0.547602389","1.379736423","1.061817203","1.0","0","0","0","2971948","26.4261194267779",34.479982,11.749342,264.966725,128.868882,67.325183,49.5543390000001
"2955377",Balaytigui,Nasugbu,Batangas,"0.423603","0.147950000000001","1.552693999999993","0.619832000000002","0.808273000000005","3.185816670417786","0.547602389","1.379736423","1.061817203","1.0","0","0","0","2971948","27.4159484533985",100.817514,35.2121000000002,756.132187999998,369.541171999998,192.368974000001,147.520016
"2955378",Natipuan,Nasugbu,Batangas,"0.423603","0.14795","1.552694000000001","0.619832","0.808273","3.128367936972416","0.36254404","1.513636907","1.081763565",,"0","0","0","2971948","28.6585923112007",19.062135,6.65774999999999,142.96617,69.8712300000001,36.372285,27.89244
"2955379",Wawa,Nasugbu,Batangas,"3.449684979695427","1.69547989847716","13.75831882233502","5.228388700507624","7.031700563451772","102.49154517650604","0.568906148","1.513636907","1.124520741","0.0","0","1","1","2971948","30.0772701783274",679.587940999999,334.009540000001,5510.04740199999,2710.388808,1385.245011,1029.992574
"2955381",Bungahan,Lian,Batangas,,,,,,"2.619797144257178","0.48320855","1.560889721","1.145274902",,"0","0","0","2983012","31.4067842814621",0,0,0,0,0,0
"2955382",San Diego,Lian,Batangas,"0.678073","0.294055","2.680065","1.011066999999999","1.314520999999999","5.560828614979982","0.500840945","1.550065994","1.149564502",,"0","0","0","2985780","32.4621283113384",33.225577,14.408695,262.120012,131.323185,64.411529,49.542283
"2955383",San Diego,Lian,Batangas,"0.55772405","0.3643534","2.441630649999998","0.9216997","1.206624550000001","1.296336616023203","0.500840945","1.550065994","1.149564502","0.0","0","1","0","2985780","32.8901823217733",33.463443,21.861204,301.169466,146.497839,72.397473,55.301982
"2955384",Prenza,Lian,Batangas,"0.536486","0.376759","2.399553999999998","0.905929","1.187584000000001","5.32985235040433","0.502700633","1.554196618","1.158938169",,"0","0","0","2985780","33.6085750805553",35.944562,25.242853,332.405358,160.770118,79.568128,60.697243
"2955385",Lumaniag,Lian,Batangas,,,,,,"17.9282009601593","0.002829778","1.553132057","1.132870056","0.0","0","0","0","2985780","34.0774993100329",0,0,0,0,0,0
"2955387",Luyahan,Lian,Batangas,"0.352354217665617","0.291174958990535","1.753314750788633","0.624092205047321","0.900454681388018","5.699843308229126","0.441061686","1.593830109","1.084020529","0.0","0","1","1","2985780","36.1757586509706",111.696287000001,92.3024619999997,1123.379338,555.800775999997,285.444134000002,197.837229000001
"2955388",Luyahan,Lian,Batangas,"0.73120684158416","0.418589118811879","3.389056769801984","1.476190252475243","1.820306903465353","15.651897325660244","0.441061686","1.593830109","1.084020529","0.0","0","0","1","2985780","36.927770493663",295.407564000001,169.110003999999,2772.14394499999,1369.178935,735.403989000002,596.380861999998
