ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3172657",Cabatuanan,Basay,Negros Oriental,,,,,,"0.145858710574121","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","24.733159836353895",0,0,0,0,0,0
"3172658",Cabatuanan,Basay,Negros Oriental,,,,,,"0.264366664893899","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","23.712081522514637",0,0,0,0,0,0
"3172659",Cabatuanan,Basay,Negros Oriental,,,,,,"0.38378796407946","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","22.503441370791887",0,0,0,0,0,0
"3172660",Cabatuanan,Basay,Negros Oriental,"4.976588","1.396937","15.278999","6.722759","6.984685","0.576180042432887","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","21.353881431071294",4.97658799957707,1.39693699988128,32.3478229972509,15.2789989987015,6.98468499940641,6.72275899942867
"3172661",Cabatuanan,Basay,Negros Oriental,"2.590475","1.260410333333333","8.618885333333337","3.345726","3.745077333333334","0.902918021661955","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","20.273454224944576",23.314275,11.343693,161.886444,77.569968,33.705696,30.111534
"3172662",Linantayan,Basay,Negros Oriental,"4.38713695652174","2.56708354347826","17.57097858695652","7.724160000000002","8.340664978260872","1.754450455254931","0.57824909","0.611604797","1.071062519","1.0","0","0","1","3187871","19.273789347036",201.8083,118.085843,1712.577296,808.265015,383.670589,355.31136
"3172663",Linantayan,Basay,Negros Oriental,"19.6226","11.435239","76.054489","36.132649","36.673962","2.762432147775378","0.57824909","0.611604797","1.071062519","1.0","0","0","0","3187871","18.368077772861223",98.113,57.176195,808.92475,380.272445,183.36981,180.663245
"3172664",Linantayan,Basay,Negros Oriental,"20.549849","8.620912000000002","77.43784499999998","29.070518","35.78681","3.499553218909672","0.57824909","0.611604797","1.071062519","1.0","0","0","0","3187871","17.570854338554895",20.5498489991776,8.62091199965499,161.642102993531,77.4378449969009,35.7868099985678,29.0705179988366
"3172665",Nagbo-alao,Basay,Negros Oriental,"11.209665499999998","4.894443000000002","42.7363205","16.1226915","19.855095500000004","2.566779331437179","0.848638836","0.613232476","1.053756216","1.0","0","0","0","3187871","16.89748144818667",44.838662,19.577772,355.698206,170.945282,79.420382,64.490766
"3172666",Nagbo-alao,Basay,Negros Oriental,"1.869482","1.167974","8.034796","3.174865","3.923381","1.307171625324658","0.848638836","0.613232476","1.053756216","1.0","0","0","0","3187871","16.363256171431978",13.086374,8.175818,113.449,56.243572,27.463667,22.224055
"3172667",Nagbo-alao,Basay,Negros Oriental,"3.022529512195123","1.589990512195123","11.399925121951211","4.50431507317073","5.519754902439024","3.531145857075068","0.848638836","0.613232476","1.053756216","1.0","0","0","1","3187871","15.81747251832094",123.92371,65.189611,970.750643,467.39693,226.309951,184.676918
"3174038",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.104020206568142","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","25.598273998532335",0,0,0,0,0,0
